,Casos-2020-09-25,Obitos-2020-09-25,Casos-2020-10-09,Obitos-2020-10-09
AGUA CLARA,199,5.0,247,5.0
ALCINOPOLIS,13,3.0,19,3.0
AMAMBAI,206,14.0,227,14.0
ANASTACIO,647,17.0,688,20.0
ANAURILANDIA,32,1.0,36,1.0
ANGELICA,109,4.0,131,4.0
ANTONIO JOAO,60,,61,1.0
APARECIDA DO TABOADO,865,24.0,929,25.0
AQUIDAUANA,1899,62.0,1970,68.0
ARAL MOREIRA,90,2.0,113,2.0
BANDEIRANTES,69,3.0,72,3.0
BATAGUASSU,810,8.0,848,8.0
BATAIPORA,175,6.0,201,6.0
BELA VISTA,46,4.0,62,6.0
BODOQUENA,28,2.0,38,2.0
BONITO,502,7.0,534,7.0
BRASILANDIA,103,6.0,108,7.0
CAARAPO,455,6.0,498,6.0
CAMAPUA,48,2.0,50,2.0
CAMPO GRANDE,30274,816.0,32880,870.0
CARACOL,35,,36,
CASSILANDIA,680,29.0,812,30.0
CHAPADAO DO SUL,831,16.0,968,18.0
CORGUINHO,49,1.0,51,1.0
CORONEL SAPUCAIA,98,3.0,117,3.0
CORUMBA,4014,141.0,4393,153.0
COSTA RICA,382,11.0,425,11.0
COXIM,552,16.0,605,16.0
DEODAPOLIS,172,2.0,184,2.0
DOIS IRMAOS DO BURITI,510,13.0,519,13.0
DOURADINA,138,3.0,143,3.0
DOURADOS,7188,123.0,7785,130.0
ELDORADO,152,2.0,156,3.0
FATIMA DO SUL,500,18.0,529,19.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,137,2.0,148,2.0
GUIA LOPES DA LAGUNA,338,12.0,348,12.0
IGUATEMI,337,7.0,344,7.0
INOCENCIA,84,2.0,113,4.0
ITAPORA,355,7.0,372,8.0
ITAQUIRAI,303,9.0,309,9.0
IVINHEMA,301,11.0,343,12.0
JAPORA,4,1.0,5,1.0
JARAGUARI,34,1.0,39,1.0
JARDIM,212,13.0,270,14.0
JATEI,31,1.0,37,2.0
JUTI,219,,219,
LADARIO,760,21.0,833,21.0
LAGUNA CARAPA,45,4.0,48,4.0
MARACAJU,445,10.0,478,12.0
MIRANDA,1212,19.0,1268,24.0
MUNDO NOVO,173,8.0,187,9.0
NAVIRAI,894,46.0,1003,47.0
NIOAQUE,319,4.0,324,5.0
NOVA ALVORADA DO SUL,532,10.0,550,10.0
NOVA ANDRADINA,452,23.0,510,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,72,3.0,74,3.0
PARANAIBA,598,19.0,767,23.0
PARANHOS,36,2.0,50,3.0
PEDRO GOMES,30,2.0,35,2.0
PONTA PORA,897,46.0,1087,50.0
PORTO MURTINHO,125,9.0,138,9.0
RIBAS DO RIO PARDO,144,6.0,166,6.0
RIO BRILHANTE,1183,17.0,1207,18.0
RIO NEGRO,39,4.0,58,4.0
RIO VERDE DE MATO GROSSO,212,12.0,233,13.0
ROCHEDO,123,1.0,150,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,948,18.0,985,21.0
SELVIRIA,38,2.0,45,2.0
SETE QUEDAS,35,5.0,55,5.0
SIDROLANDIA,2006,38.0,2059,39.0
SONORA,303,9.0,313,9.0
TACURU,235,2.0,264,2.0
TAQUARUSSU,36,2.0,44,2.0
TERENOS,302,17.0,309,19.0
TRES LAGOAS,2088,61.0,2368,67.0
VICENTINA,112,7.0,119,7.0
