,Casos-2020-08-23,Obitos-2020-08-23,Casos-2020-09-06,Obitos-2020-09-06
AGUA CLARA,60.0,3.0,73.0,3.0
ALCINOPOLIS,8.0,3.0,9.0,3.0
AMAMBAI,124.0,12.0,155.0,12.0
ANASTACIO,362.0,11.0,451.0,15.0
ANAURILANDIA,30.0,1.0,30.0,1.0
ANGELICA,55.0,3.0,61.0,3.0
ANTONIO JOAO,49.0,,49.0,
APARECIDA DO TABOADO,455.0,17.0,628.0,21.0
AQUIDAUANA,1364.0,44.0,1599.0,48.0
ARAL MOREIRA,43.0,1.0,50.0,1.0
BANDEIRANTES,56.0,1.0,59.0,2.0
BATAGUASSU,592.0,6.0,620.0,7.0
BATAIPORA,97.0,5.0,115.0,5.0
BELA VISTA,20.0,2.0,21.0,3.0
BODOQUENA,10.0,,12.0,2.0
BONITO,303.0,4.0,397.0,6.0
BRASILANDIA,84.0,5.0,87.0,5.0
CAARAPO,296.0,4.0,344.0,5.0
CAMAPUA,34.0,1.0,36.0,1.0
CAMPO GRANDE,18545.0,508.0,21545.0,587.0
CARACOL,14.0,,14.0,
CASSILANDIA,247.0,9.0,387.0,10.0
CHAPADAO DO SUL,472.0,9.0,544.0,11.0
CORGUINHO,23.0,,29.0,
CORONEL SAPUCAIA,36.0,1.0,48.0,2.0
CORUMBA,2320.0,97.0,2802.0,112.0
COSTA RICA,275.0,7.0,306.0,9.0
COXIM,410.0,11.0,436.0,11.0
DEODAPOLIS,112.0,2.0,126.0,2.0
DOIS IRMAOS DO BURITI,330.0,12.0,339.0,13.0
DOURADINA,129.0,3.0,130.0,3.0
DOURADOS,4919.0,102.0,5524.0,108.0
ELDORADO,106.0,2.0,118.0,2.0
FATIMA DO SUL,346.0,14.0,398.0,16.0
FIGUEIRAO,7.0,,13.0,
GLORIA DE DOURADOS,70.0,1.0,76.0,1.0
GUIA LOPES DA LAGUNA,292.0,9.0,299.0,9.0
IGUATEMI,283.0,7.0,295.0,7.0
INOCENCIA,40.0,1.0,43.0,1.0
ITAPORA,255.0,6.0,283.0,7.0
ITAQUIRAI,241.0,8.0,264.0,8.0
IVINHEMA,156.0,4.0,215.0,5.0
JAPORA,,,,1.0
JARAGUARI,27.0,1.0,27.0,1.0
JARDIM,128.0,11.0,136.0,13.0
JATEI,27.0,1.0,27.0,1.0
JUTI,170.0,,174.0,
LADARIO,466.0,14.0,583.0,16.0
LAGUNA CARAPA,30.0,4.0,30.0,4.0
MARACAJU,280.0,8.0,320.0,8.0
MIRANDA,586.0,15.0,806.0,15.0
MUNDO NOVO,120.0,6.0,138.0,6.0
NAVIRAI,598.0,33.0,670.0,36.0
NIOAQUE,188.0,3.0,199.0,4.0
NOVA ALVORADA DO SUL,239.0,7.0,390.0,8.0
NOVA ANDRADINA,304.0,13.0,346.0,17.0
NOVO HORIZONTE DO SUL,17.0,1.0,19.0,1.0
PARAISO DAS AGUAS,53.0,3.0,53.0,3.0
PARANAIBA,339.0,11.0,420.0,13.0
PARANHOS,11.0,1.0,20.0,1.0
PEDRO GOMES,8.0,2.0,17.0,2.0
PONTA PORA,482.0,31.0,585.0,34.0
PORTO MURTINHO,93.0,4.0,107.0,5.0
RIBAS DO RIO PARDO,83.0,3.0,110.0,6.0
RIO BRILHANTE,841.0,10.0,961.0,10.0
RIO NEGRO,24.0,3.0,26.0,3.0
RIO VERDE DE MATO GROSSO,129.0,8.0,153.0,9.0
ROCHEDO,67.0,,67.0,
SANTA RITA DO PARDO,44.0,1.0,44.0,1.0
SAO GABRIEL DO OESTE,719.0,15.0,765.0,16.0
SELVIRIA,11.0,1.0,11.0,1.0
SETE QUEDAS,19.0,2.0,21.0,2.0
SIDROLANDIA,1465.0,30.0,1681.0,31.0
SONORA,183.0,7.0,198.0,7.0
TACURU,112.0,1.0,164.0,2.0
TAQUARUSSU,12.0,,12.0,
TERENOS,232.0,13.0,254.0,13.0
TRES LAGOAS,1198.0,43.0,1359.0,49.0
VICENTINA,94.0,5.0,103.0,6.0
