,Casos-2020-07-22,Obitos-2020-07-22,Casos-2020-08-05,Obitos-2020-08-05
AGUA CLARA,24.0,,36,
ALCINOPOLIS,4.0,1.0,5,1.0
AMAMBAI,72.0,1.0,85,2.0
ANASTACIO,60.0,3.0,174,5.0
ANAURILANDIA,29.0,,29,
ANGELICA,23.0,1.0,40,3.0
ANTONIO JOAO,37.0,,48,
APARECIDA DO TABOADO,111.0,2.0,166,5.0
AQUIDAUANA,401.0,11.0,691,19.0
ARAL MOREIRA,30.0,1.0,30,1.0
BANDEIRANTES,37.0,,50,
BATAGUASSU,332.0,1.0,439,4.0
BATAIPORA,59.0,3.0,72,3.0
BELA VISTA,10.0,,12,
BODOQUENA,5.0,,5,
BONITO,129.0,,141,
BRASILANDIA,46.0,1.0,56,1.0
CAARAPO,150.0,,219,1.0
CAMAPUA,19.0,1.0,22,1.0
CAMPO GRANDE,8567.0,82.0,11426,144.0
CARACOL,12.0,,12,
CASSILANDIA,51.0,1.0,68,1.0
CHAPADAO DO SUL,279.0,,320,3.0
CORGUINHO,18.0,,18,
CORONEL SAPUCAIA,6.0,,8,
CORUMBA,1028.0,32.0,1450,54.0
COSTA RICA,152.0,2.0,190,3.0
COXIM,136.0,1.0,209,3.0
DEODAPOLIS,79.0,1.0,90,1.0
DOIS IRMAOS DO BURITI,48.0,3.0,114,4.0
DOURADINA,119.0,1.0,121,1.0
DOURADOS,3439.0,42.0,3790,48.0
ELDORADO,70.0,,87,
FATIMA DO SUL,258.0,4.0,270,5.0
FIGUEIRAO,2.0,,4,
GLORIA DE DOURADOS,47.0,1.0,50,1.0
GUIA LOPES DA LAGUNA,237.0,3.0,260,3.0
IGUATEMI,116.0,2.0,255,2.0
INOCENCIA,8.0,,28,
ITAPORA,179.0,3.0,196,3.0
ITAQUIRAI,152.0,4.0,198,5.0
IVINHEMA,77.0,,97,
JARAGUARI,12.0,,19,
JARDIM,60.0,1.0,82,1.0
JATEI,26.0,,27,
JUTI,134.0,,145,
LADARIO,165.0,4.0,248,7.0
LAGUNA CARAPA,21.0,1.0,23,1.0
MARACAJU,167.0,,210,2.0
MIRANDA,119.0,1.0,233,3.0
MUNDO NOVO,77.0,,89,
NAVIRAI,316.0,4.0,429,8.0
NIOAQUE,77.0,,101,2.0
NOVA ALVORADA DO SUL,89.0,1.0,142,1.0
NOVA ANDRADINA,129.0,3.0,155,5.0
NOVO HORIZONTE DO SUL,15.0,,15,
PARAISO DAS AGUAS,22.0,1.0,37,1.0
PARANAIBA,165.0,1.0,194,1.0
PARANHOS,5.0,,6,
PEDRO GOMES,,,1,
PONTA PORA,234.0,5.0,300,6.0
PORTO MURTINHO,45.0,1.0,50,1.0
RIBAS DO RIO PARDO,32.0,,40,
RIO BRILHANTE,506.0,1.0,599,1.0
RIO NEGRO,12.0,1.0,20,1.0
RIO VERDE DE MATO GROSSO,44.0,2.0,83,3.0
ROCHEDO,49.0,,60,
SANTA RITA DO PARDO,38.0,,39,
SAO GABRIEL DO OESTE,442.0,3.0,550,4.0
SELVIRIA,3.0,,5,
SETE QUEDAS,5.0,,6,
SIDROLANDIA,501.0,3.0,855,9.0
SONORA,107.0,2.0,144,2.0
TACURU,42.0,,69,
TAQUARUSSU,3.0,,4,
TERENOS,136.0,2.0,170,6.0
TRES LAGOAS,564.0,9.0,701,16.0
VICENTINA,85.0,2.0,87,2.0
