,Casos-2020-09-28,Obitos-2020-09-28,Casos-2020-10-12,Obitos-2020-10-12
AGUA CLARA,207,3.0,249,5.0
ALCINOPOLIS,13,3.0,20,3.0
AMAMBAI,206,15.0,242,15.0
ANASTACIO,659,23.0,697,23.0
ANAURILANDIA,32,1.0,36,1.0
ANGELICA,112,3.0,133,4.0
ANTONIO JOAO,60,1.0,61,1.0
APARECIDA DO TABOADO,867,26.0,934,27.0
AQUIDAUANA,1922,69.0,1973,72.0
ARAL MOREIRA,95,2.0,115,2.0
BANDEIRANTES,69,3.0,73,4.0
BATAGUASSU,812,8.0,854,8.0
BATAIPORA,183,6.0,213,7.0
BELA VISTA,51,6.0,63,6.0
BODOQUENA,28,2.0,38,2.0
BONITO,505,8.0,536,8.0
BRASILANDIA,105,7.0,108,8.0
CAARAPO,463,5.0,503,6.0
CAMAPUA,49,1.0,52,3.0
CAMPO GRANDE,30828,832.0,33251,955.0
CARACOL,35,,36,
CASSILANDIA,695,22.0,812,34.0
CHAPADAO DO SUL,870,16.0,985,18.0
CORGUINHO,51,1.0,53,1.0
CORONEL SAPUCAIA,102,2.0,118,3.0
CORUMBA,4065,153.0,4433,163.0
COSTA RICA,396,11.0,437,14.0
COXIM,564,18.0,610,19.0
DEODAPOLIS,174,2.0,184,2.0
DOIS IRMAOS DO BURITI,513,14.0,519,14.0
DOURADINA,140,3.0,144,3.0
DOURADOS,7248,134.0,7812,140.0
ELDORADO,153,3.0,156,3.0
FATIMA DO SUL,509,19.0,531,22.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,140,2.0,149,2.0
GUIA LOPES DA LAGUNA,342,11.0,353,12.0
IGUATEMI,337,7.0,344,7.0
INOCENCIA,94,3.0,114,4.0
ITAPORA,356,8.0,372,9.0
ITAQUIRAI,303,9.0,309,9.0
IVINHEMA,314,10.0,347,12.0
JAPORA,4,1.0,5,1.0
JARAGUARI,34,1.0,39,1.0
JARDIM,214,15.0,288,16.0
JATEI,32,2.0,39,2.0
JUTI,219,,219,
LADARIO,771,22.0,837,24.0
LAGUNA CARAPA,45,4.0,48,4.0
MARACAJU,450,12.0,477,12.0
MIRANDA,1245,23.0,1285,25.0
MUNDO NOVO,175,10.0,196,10.0
NAVIRAI,928,44.0,1046,49.0
NIOAQUE,320,5.0,324,5.0
NOVA ALVORADA DO SUL,540,11.0,558,12.0
NOVA ANDRADINA,458,21.0,514,25.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,73,3.0,75,3.0
PARANAIBA,623,18.0,773,26.0
PARANHOS,42,2.0,53,3.0
PEDRO GOMES,31,3.0,36,4.0
PONTA PORA,938,46.0,1108,55.0
PORTO MURTINHO,126,11.0,138,11.0
RIBAS DO RIO PARDO,147,6.0,168,6.0
RIO BRILHANTE,1180,20.0,1204,22.0
RIO NEGRO,39,4.0,58,5.0
RIO VERDE DE MATO GROSSO,214,12.0,236,13.0
ROCHEDO,129,1.0,151,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,963,22.0,989,23.0
SELVIRIA,41,2.0,46,2.0
SETE QUEDAS,45,4.0,55,5.0
SIDROLANDIA,2014,40.0,2060,43.0
SONORA,304,9.0,314,9.0
TACURU,235,2.0,266,2.0
TAQUARUSSU,38,2.0,46,3.0
TERENOS,304,16.0,309,20.0
TRES LAGOAS,2146,58.0,2419,63.0
VICENTINA,112,7.0,118,7.0
