,Casos-2020-08-21,Obitos-2020-08-21,Casos-2020-09-04,Obitos-2020-09-04
AGUA CLARA,57.0,3.0,71.0,3.0
ALCINOPOLIS,8.0,3.0,9.0,3.0
AMAMBAI,120.0,12.0,153.0,12.0
ANASTACIO,338.0,9.0,437.0,15.0
ANAURILANDIA,30.0,1.0,30.0,1.0
ANGELICA,54.0,3.0,60.0,3.0
ANTONIO JOAO,49.0,,49.0,
APARECIDA DO TABOADO,418.0,17.0,589.0,21.0
AQUIDAUANA,1331.0,43.0,1569.0,48.0
ARAL MOREIRA,38.0,1.0,45.0,1.0
BANDEIRANTES,57.0,1.0,59.0,1.0
BATAGUASSU,588.0,6.0,616.0,7.0
BATAIPORA,92.0,5.0,110.0,5.0
BELA VISTA,19.0,1.0,20.0,2.0
BODOQUENA,10.0,,12.0,2.0
BONITO,288.0,4.0,393.0,7.0
BRASILANDIA,78.0,5.0,82.0,5.0
CAARAPO,281.0,4.0,328.0,5.0
CAMAPUA,33.0,1.0,35.0,1.0
CAMPO GRANDE,17495.0,458.0,20866.0,554.0
CARACOL,14.0,,14.0,
CASSILANDIA,215.0,8.0,358.0,10.0
CHAPADAO DO SUL,441.0,10.0,523.0,13.0
CORGUINHO,20.0,,27.0,
CORONEL SAPUCAIA,34.0,1.0,47.0,2.0
CORUMBA,2209.0,94.0,2706.0,111.0
COSTA RICA,276.0,7.0,306.0,9.0
COXIM,357.0,11.0,427.0,11.0
DEODAPOLIS,111.0,2.0,121.0,2.0
DOIS IRMAOS DO BURITI,186.0,12.0,287.0,13.0
DOURADINA,129.0,3.0,130.0,3.0
DOURADOS,4764.0,102.0,5308.0,110.0
ELDORADO,106.0,2.0,118.0,2.0
FATIMA DO SUL,335.0,12.0,389.0,14.0
FIGUEIRAO,6.0,,12.0,
GLORIA DE DOURADOS,65.0,1.0,70.0,1.0
GUIA LOPES DA LAGUNA,287.0,9.0,295.0,9.0
IGUATEMI,279.0,7.0,290.0,7.0
INOCENCIA,39.0,,42.0,1.0
ITAPORA,250.0,6.0,280.0,6.0
ITAQUIRAI,232.0,7.0,254.0,9.0
IVINHEMA,145.0,3.0,204.0,4.0
JAPORA,,,,1.0
JARAGUARI,25.0,1.0,25.0,1.0
JARDIM,114.0,11.0,131.0,12.0
JATEI,27.0,,27.0,1.0
JUTI,170.0,,174.0,
LADARIO,443.0,13.0,563.0,16.0
LAGUNA CARAPA,29.0,4.0,29.0,4.0
MARACAJU,273.0,8.0,314.0,8.0
MIRANDA,540.0,14.0,758.0,14.0
MUNDO NOVO,119.0,6.0,139.0,6.0
NAVIRAI,579.0,32.0,656.0,37.0
NIOAQUE,168.0,3.0,199.0,4.0
NOVA ALVORADA DO SUL,215.0,6.0,375.0,7.0
NOVA ANDRADINA,231.0,14.0,274.0,18.0
NOVO HORIZONTE DO SUL,16.0,1.0,19.0,1.0
PARAISO DAS AGUAS,53.0,3.0,53.0,3.0
PARANAIBA,327.0,10.0,411.0,12.0
PARANHOS,10.0,1.0,19.0,1.0
PEDRO GOMES,8.0,2.0,16.0,2.0
PONTA PORA,452.0,31.0,571.0,34.0
PORTO MURTINHO,84.0,4.0,99.0,5.0
RIBAS DO RIO PARDO,76.0,3.0,101.0,6.0
RIO BRILHANTE,802.0,10.0,930.0,10.0
RIO NEGRO,23.0,3.0,26.0,3.0
RIO VERDE DE MATO GROSSO,124.0,8.0,148.0,9.0
ROCHEDO,66.0,,66.0,
SANTA RITA DO PARDO,44.0,1.0,44.0,1.0
SAO GABRIEL DO OESTE,699.0,15.0,753.0,15.0
SELVIRIA,11.0,1.0,11.0,1.0
SETE QUEDAS,16.0,2.0,19.0,2.0
SIDROLANDIA,1433.0,30.0,1663.0,31.0
SONORA,179.0,7.0,195.0,7.0
TACURU,114.0,1.0,166.0,2.0
TAQUARUSSU,9.0,,10.0,
TERENOS,233.0,13.0,254.0,13.0
TRES LAGOAS,1133.0,43.0,1313.0,47.0
VICENTINA,94.0,5.0,100.0,6.0
