,Casos-2020-07-26,Obitos-2020-07-26,Casos-2020-08-09,Obitos-2020-08-09
AGUA CLARA,30,,40,
ALCINOPOLIS,4,1.0,5,1.0
AMAMBAI,75,1.0,91,2.0
ANASTACIO,123,4.0,212,5.0
ANAURILANDIA,29,,30,
ANGELICA,32,2.0,44,3.0
ANTONIO JOAO,38,,48,
APARECIDA DO TABOADO,137,2.0,185,6.0
AQUIDAUANA,612,14.0,837,20.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,44,,54,
BATAGUASSU,378,1.0,548,4.0
BATAIPORA,67,3.0,75,3.0
BELA VISTA,11,,14,
BODOQUENA,3,,3,
BONITO,144,,153,
BRASILANDIA,56,1.0,65,1.0
CAARAPO,163,,229,1.0
CAMAPUA,21,1.0,25,1.0
CAMPO GRANDE,10217,106.0,12583,157.0
CARACOL,12,,12,
CASSILANDIA,66,1.0,78,1.0
CHAPADAO DO SUL,307,2.0,343,3.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,6,,8,
CORUMBA,1221,39.0,1549,55.0
COSTA RICA,172,2.0,213,3.0
COXIM,176,3.0,221,3.0
DEODAPOLIS,83,1.0,90,1.0
DOIS IRMAOS DO BURITI,91,3.0,137,4.0
DOURADINA,121,1.0,124,1.0
DOURADOS,3661,45.0,4019,52.0
ELDORADO,81,,97,
FATIMA DO SUL,266,4.0,283,5.0
FIGUEIRAO,2,,4,
GLORIA DE DOURADOS,46,1.0,51,1.0
GUIA LOPES DA LAGUNA,245,5.0,266,5.0
IGUATEMI,190,2.0,266,2.0
INOCENCIA,15,,28,
ITAPORA,191,3.0,208,3.0
ITAQUIRAI,166,5.0,202,5.0
IVINHEMA,86,,102,
JARAGUARI,17,,20,
JARDIM,72,1.0,87,1.0
JATEI,26,,26,
JUTI,141,,160,
LADARIO,220,5.0,289,7.0
LAGUNA CARAPA,22,1.0,30,1.0
MARACAJU,190,,219,2.0
MIRANDA,193,3.0,279,3.0
MUNDO NOVO,88,,98,
NAVIRAI,363,6.0,462,9.0
NIOAQUE,83,2.0,114,2.0
NOVA ALVORADA DO SUL,116,1.0,147,1.0
NOVA ANDRADINA,141,3.0,163,5.0
NOVO HORIZONTE DO SUL,15,,15,
PARAISO DAS AGUAS,31,1.0,42,1.0
PARANAIBA,180,1.0,205,1.0
PARANHOS,6,,7,
PEDRO GOMES,1,,1,
PONTA PORA,260,6.0,316,6.0
PORTO MURTINHO,52,1.0,58,1.0
RIBAS DO RIO PARDO,39,,42,
RIO BRILHANTE,564,1.0,643,1.0
RIO NEGRO,14,1.0,21,1.0
RIO VERDE DE MATO GROSSO,60,3.0,87,3.0
ROCHEDO,54,,61,
SANTA RITA DO PARDO,39,,43,
SAO GABRIEL DO OESTE,492,3.0,585,4.0
SELVIRIA,3,,5,
SETE QUEDAS,8,,8,
SIDROLANDIA,654,7.0,916,9.0
SONORA,119,2.0,159,2.0
TACURU,62,,86,
TAQUARUSSU,3,,4,
TERENOS,150,4.0,181,6.0
TRES LAGOAS,659,11.0,781,17.0
VICENTINA,87,3.0,89,3.0
