,Casos-2020-10-09,Obitos-2020-10-09,Casos-2020-10-23,Obitos-2020-10-23
AGUA CLARA,241,5.0,267,6.0
ALCINOPOLIS,18,3.0,21,3.0
AMAMBAI,227,14.0,270,14.0
ANASTACIO,693,20.0,748,23.0
ANAURILANDIA,37,1.0,39,2.0
ANGELICA,135,4.0,142,4.0
ANTONIO JOAO,61,1.0,65,1.0
APARECIDA DO TABOADO,932,25.0,1003,27.0
AQUIDAUANA,1971,68.0,2061,71.0
ARAL MOREIRA,114,2.0,123,2.0
BANDEIRANTES,73,4.0,77,4.0
BATAGUASSU,851,8.0,886,8.0
BATAIPORA,209,6.0,228,6.0
BELA VISTA,63,6.0,70,6.0
BODOQUENA,38,2.0,42,2.0
BONITO,531,7.0,595,7.0
BRASILANDIA,109,7.0,111,7.0
CAARAPO,505,6.0,629,7.0
CAMAPUA,51,2.0,69,2.0
CAMPO GRANDE,33027,873.0,35068,933.0
CARACOL,36,,37,
CASSILANDIA,808,31.0,904,37.0
CHAPADAO DO SUL,969,18.0,1024,19.0
CORGUINHO,53,1.0,62,1.0
CORONEL SAPUCAIA,117,3.0,126,3.0
CORUMBA,4407,154.0,4708,163.0
COSTA RICA,430,12.0,452,13.0
COXIM,605,16.0,628,18.0
DEODAPOLIS,184,2.0,190,2.0
DOIS IRMAOS DO BURITI,519,13.0,522,13.0
DOURADINA,143,3.0,147,3.0
DOURADOS,7792,129.0,8257,134.0
ELDORADO,156,3.0,159,3.0
FATIMA DO SUL,531,20.0,540,22.0
FIGUEIRAO,21,,21,
GLORIA DE DOURADOS,149,2.0,153,2.0
GUIA LOPES DA LAGUNA,353,12.0,358,12.0
IGUATEMI,345,7.0,346,7.0
INOCENCIA,114,4.0,118,4.0
ITAPORA,369,8.0,372,9.0
ITAQUIRAI,309,9.0,317,10.0
IVINHEMA,348,12.0,379,12.0
JAPORA,5,1.0,6,3.0
JARAGUARI,39,1.0,39,1.0
JARDIM,284,14.0,321,15.0
JATEI,37,2.0,46,2.0
JUTI,219,,223,
LADARIO,846,21.0,937,21.0
LAGUNA CARAPA,48,4.0,48,4.0
MARACAJU,476,12.0,514,13.0
MIRANDA,1282,24.0,1311,30.0
MUNDO NOVO,189,9.0,235,9.0
NAVIRAI,1023,47.0,1117,51.0
NIOAQUE,324,5.0,327,5.0
NOVA ALVORADA DO SUL,559,10.0,566,11.0
NOVA ANDRADINA,516,23.0,550,24.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,75,3.0,81,3.0
PARANAIBA,771,23.0,813,25.0
PARANHOS,53,3.0,63,3.0
PEDRO GOMES,36,3.0,41,3.0
PONTA PORA,1100,50.0,1225,60.0
PORTO MURTINHO,136,9.0,213,11.0
RIBAS DO RIO PARDO,168,6.0,191,6.0
RIO BRILHANTE,1204,19.0,1216,20.0
RIO NEGRO,57,4.0,61,5.0
RIO VERDE DE MATO GROSSO,241,13.0,263,15.0
ROCHEDO,151,1.0,158,2.0
SANTA RITA DO PARDO,49,1.0,53,1.0
SAO GABRIEL DO OESTE,986,21.0,1025,21.0
SELVIRIA,45,2.0,50,2.0
SETE QUEDAS,55,5.0,65,5.0
SIDROLANDIA,2059,39.0,2105,39.0
SONORA,314,9.0,327,9.0
TACURU,264,2.0,306,2.0
TAQUARUSSU,45,2.0,57,2.0
TERENOS,310,19.0,318,21.0
TRES LAGOAS,2375,63.0,2768,68.0
VICENTINA,118,7.0,122,7.0
