,Casos-2020-08-24,Obitos-2020-08-24,Casos-2020-09-07,Obitos-2020-09-07
AGUA CLARA,63.0,3.0,74,3.0
ALCINOPOLIS,8.0,3.0,9,3.0
AMAMBAI,129.0,12.0,157,12.0
ANASTACIO,380.0,11.0,452,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,55.0,3.0,63,3.0
ANTONIO JOAO,49.0,,50,
APARECIDA DO TABOADO,496.0,18.0,630,21.0
AQUIDAUANA,1394.0,46.0,1604,48.0
ARAL MOREIRA,45.0,1.0,51,1.0
BANDEIRANTES,57.0,1.0,61,2.0
BATAGUASSU,620.0,6.0,697,7.0
BATAIPORA,100.0,5.0,115,5.0
BELA VISTA,19.0,2.0,21,3.0
BODOQUENA,12.0,,13,2.0
BONITO,317.0,4.0,397,6.0
BRASILANDIA,85.0,5.0,89,5.0
CAARAPO,308.0,4.0,346,5.0
CAMAPUA,33.0,1.0,35,1.0
CAMPO GRANDE,20021.0,526.0,23009,598.0
CARACOL,14.0,,14,
CASSILANDIA,287.0,9.0,390,11.0
CHAPADAO DO SUL,485.0,10.0,561,11.0
CORGUINHO,25.0,,31,1.0
CORONEL SAPUCAIA,39.0,1.0,49,2.0
CORUMBA,2447.0,102.0,2882,114.0
COSTA RICA,291.0,7.0,315,9.0
COXIM,415.0,11.0,445,11.0
DEODAPOLIS,115.0,2.0,126,2.0
DOIS IRMAOS DO BURITI,351.0,13.0,360,13.0
DOURADINA,148.0,3.0,150,3.0
DOURADOS,5000.0,104.0,5603,112.0
ELDORADO,108.0,2.0,126,2.0
FATIMA DO SUL,359.0,14.0,404,16.0
FIGUEIRAO,7.0,,13,
GLORIA DE DOURADOS,72.0,1.0,80,1.0
GUIA LOPES DA LAGUNA,293.0,9.0,299,9.0
IGUATEMI,283.0,7.0,299,7.0
INOCENCIA,41.0,1.0,44,1.0
ITAPORA,264.0,6.0,291,7.0
ITAQUIRAI,246.0,8.0,268,8.0
IVINHEMA,160.0,4.0,216,5.0
JAPORA,,,1,1.0
JARAGUARI,29.0,1.0,29,1.0
JARDIM,130.0,11.0,138,13.0
JATEI,27.0,1.0,27,1.0
JUTI,247.0,,253,
LADARIO,491.0,14.0,607,16.0
LAGUNA CARAPA,30.0,4.0,34,4.0
MARACAJU,289.0,8.0,323,9.0
MIRANDA,624.0,15.0,835,15.0
MUNDO NOVO,123.0,6.0,139,7.0
NAVIRAI,613.0,33.0,684,37.0
NIOAQUE,189.0,3.0,200,4.0
NOVA ALVORADA DO SUL,264.0,7.0,409,8.0
NOVA ANDRADINA,311.0,13.0,348,17.0
NOVO HORIZONTE DO SUL,18.0,1.0,19,1.0
PARAISO DAS AGUAS,54.0,3.0,57,3.0
PARANAIBA,356.0,11.0,421,13.0
PARANHOS,10.0,1.0,19,1.0
PEDRO GOMES,9.0,2.0,17,2.0
PONTA PORA,515.0,31.0,603,34.0
PORTO MURTINHO,100.0,4.0,107,5.0
RIBAS DO RIO PARDO,86.0,3.0,110,6.0
RIO BRILHANTE,858.0,10.0,974,10.0
RIO NEGRO,24.0,3.0,26,3.0
RIO VERDE DE MATO GROSSO,138.0,8.0,156,9.0
ROCHEDO,68.0,,68,
SANTA RITA DO PARDO,48.0,1.0,50,1.0
SAO GABRIEL DO OESTE,727.0,15.0,778,17.0
SELVIRIA,11.0,1.0,11,1.0
SETE QUEDAS,19.0,2.0,21,2.0
SIDROLANDIA,1496.0,30.0,1686,33.0
SONORA,192.0,7.0,211,7.0
TACURU,118.0,1.0,175,2.0
TAQUARUSSU,12.0,,12,
TERENOS,243.0,14.0,259,14.0
TRES LAGOAS,1237.0,43.0,1378,49.0
VICENTINA,94.0,5.0,103,6.0
