,Casos-2020-08-08,Obitos-2020-08-08,Casos-2020-08-22,Obitos-2020-08-22
AGUA CLARA,42,3.0,57,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,92,9.0,118,10.0
ANASTACIO,233,7.0,297,9.0
ANAURILANDIA,29,1.0,30,1.0
ANGELICA,46,3.0,54,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,184,10.0,380,12.0
AQUIDAUANA,976,28.0,1252,37.0
ARAL MOREIRA,30,1.0,31,1.0
BANDEIRANTES,56,1.0,57,1.0
BATAGUASSU,556,5.0,576,6.0
BATAIPORA,79,5.0,82,5.0
BELA VISTA,14,1.0,15,1.0
BODOQUENA,5,,5,
BONITO,151,1.0,265,2.0
BRASILANDIA,67,4.0,75,5.0
CAARAPO,232,3.0,259,3.0
CAMAPUA,25,1.0,29,1.0
CAMPO GRANDE,12834,337.0,16590,424.0
CARACOL,12,,14,
CASSILANDIA,83,2.0,137,4.0
CHAPADAO DO SUL,344,6.0,406,10.0
CORGUINHO,19,,21,
CORONEL SAPUCAIA,8,,16,
CORUMBA,1566,73.0,1958,87.0
COSTA RICA,215,6.0,260,6.0
COXIM,220,10.0,378,10.0
DEODAPOLIS,90,1.0,105,2.0
DOIS IRMAOS DO BURITI,140,9.0,149,12.0
DOURADINA,123,3.0,129,3.0
DOURADOS,4034,84.0,4464,96.0
ELDORADO,98,1.0,106,2.0
FATIMA DO SUL,283,11.0,305,11.0
FIGUEIRAO,4,,5,
GLORIA DE DOURADOS,51,1.0,56,1.0
GUIA LOPES DA LAGUNA,268,6.0,283,8.0
IGUATEMI,262,6.0,276,7.0
INOCENCIA,29,,35,1.0
ITAPORA,214,5.0,238,6.0
ITAQUIRAI,202,6.0,226,7.0
IVINHEMA,102,2.0,121,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,88,8.0,116,10.0
JATEI,26,,26,1.0
JUTI,162,,167,
LADARIO,309,8.0,413,12.0
LAGUNA CARAPA,29,4.0,29,4.0
MARACAJU,218,7.0,252,8.0
MIRANDA,333,7.0,497,11.0
MUNDO NOVO,102,4.0,111,4.0
NAVIRAI,463,22.0,553,32.0
NIOAQUE,119,2.0,175,3.0
NOVA ALVORADA DO SUL,148,4.0,173,6.0
NOVA ANDRADINA,167,12.0,185,13.0
NOVO HORIZONTE DO SUL,15,1.0,16,1.0
PARAISO DAS AGUAS,45,1.0,49,3.0
PARANAIBA,206,6.0,286,8.0
PARANHOS,6,1.0,9,1.0
PEDRO GOMES,1,2.0,3,2.0
PONTA PORA,323,29.0,430,30.0
PORTO MURTINHO,57,4.0,80,4.0
RIBAS DO RIO PARDO,42,3.0,66,3.0
RIO BRILHANTE,664,6.0,747,8.0
RIO NEGRO,21,2.0,22,3.0
RIO VERDE DE MATO GROSSO,87,5.0,112,8.0
ROCHEDO,61,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,589,9.0,676,12.0
SELVIRIA,5,1.0,6,1.0
SETE QUEDAS,8,2.0,9,2.0
SIDROLANDIA,926,24.0,1329,29.0
SONORA,164,6.0,176,7.0
TACURU,89,,110,1.0
TAQUARUSSU,5,,6,
TERENOS,183,13.0,217,14.0
TRES LAGOAS,791,38.0,996,39.0
VICENTINA,89,4.0,93,5.0
