,Casos-2020-08-13,Obitos-2020-08-13,Casos-2020-08-27,Obitos-2020-08-27
AGUA CLARA,46,3.0,65,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,94,10.0,133,11.0
ANASTACIO,239,8.0,344,12.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,46,3.0,57,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,205,10.0,489,16.0
AQUIDAUANA,1011,29.0,1358,40.0
ARAL MOREIRA,30,1.0,36,1.0
BANDEIRANTES,56,1.0,59,1.0
BATAGUASSU,559,5.0,580,7.0
BATAIPORA,80,5.0,86,5.0
BELA VISTA,15,1.0,16,2.0
BODOQUENA,5,,6,1.0
BONITO,166,1.0,331,3.0
BRASILANDIA,69,4.0,77,5.0
CAARAPO,234,3.0,279,3.0
CAMAPUA,25,1.0,30,1.0
CAMPO GRANDE,13257,349.0,18292,471.0
CARACOL,12,,14,
CASSILANDIA,93,2.0,230,5.0
CHAPADAO DO SUL,349,6.0,450,12.0
CORGUINHO,19,,24,
CORONEL SAPUCAIA,8,,21,1.0
CORUMBA,1629,73.0,2292,99.0
COSTA RICA,220,6.0,281,7.0
COXIM,221,10.0,392,10.0
DEODAPOLIS,90,1.0,111,2.0
DOIS IRMAOS DO BURITI,147,9.0,193,13.0
DOURADINA,123,3.0,130,3.0
DOURADOS,4082,86.0,4698,99.0
ELDORADO,97,1.0,111,2.0
FATIMA DO SUL,287,11.0,328,13.0
FIGUEIRAO,4,,7,
GLORIA DE DOURADOS,52,1.0,59,1.0
GUIA LOPES DA LAGUNA,267,6.0,287,7.0
IGUATEMI,262,6.0,278,7.0
INOCENCIA,30,,36,1.0
ITAPORA,215,5.0,260,6.0
ITAQUIRAI,205,6.0,237,8.0
IVINHEMA,102,2.0,151,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,92,9.0,124,10.0
JATEI,26,,26,1.0
JUTI,162,,167,
LADARIO,312,9.0,465,13.0
LAGUNA CARAPA,30,4.0,30,4.0
MARACAJU,221,7.0,268,8.0
MIRANDA,370,7.0,544,11.0
MUNDO NOVO,103,4.0,124,5.0
NAVIRAI,481,22.0,593,33.0
NIOAQUE,129,2.0,186,4.0
NOVA ALVORADA DO SUL,159,4.0,318,7.0
NOVA ANDRADINA,170,12.0,207,13.0
NOVO HORIZONTE DO SUL,15,1.0,17,1.0
PARAISO DAS AGUAS,46,1.0,49,3.0
PARANAIBA,214,6.0,333,9.0
PARANHOS,6,1.0,12,1.0
PEDRO GOMES,1,2.0,10,2.0
PONTA PORA,337,29.0,500,31.0
PORTO MURTINHO,59,4.0,94,4.0
RIBAS DO RIO PARDO,43,3.0,81,4.0
RIO BRILHANTE,675,7.0,788,8.0
RIO NEGRO,21,2.0,23,3.0
RIO VERDE DE MATO GROSSO,87,5.0,129,8.0
ROCHEDO,62,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,598,10.0,699,12.0
SELVIRIA,5,1.0,6,1.0
SETE QUEDAS,8,2.0,12,2.0
SIDROLANDIA,985,24.0,1479,30.0
SONORA,166,6.0,181,7.0
TACURU,92,,150,1.0
TAQUARUSSU,5,,6,
TERENOS,190,13.0,227,14.0
TRES LAGOAS,814,41.0,1108,44.0
VICENTINA,88,4.0,97,5.0
