,Casos-2020-09-21,Obitos-2020-09-21,Casos-2020-10-05,Obitos-2020-10-05
AGUA CLARA,173,5.0,226,5.0
ALCINOPOLIS,12,3.0,13,3.0
AMAMBAI,202,13.0,212,14.0
ANASTACIO,619,16.0,672,18.0
ANAURILANDIA,30,1.0,32,1.0
ANGELICA,97,4.0,126,4.0
ANTONIO JOAO,60,,61,
APARECIDA DO TABOADO,834,24.0,917,25.0
AQUIDAUANA,1880,59.0,1965,66.0
ARAL MOREIRA,74,2.0,110,2.0
BANDEIRANTES,69,3.0,71,3.0
BATAGUASSU,795,8.0,830,8.0
BATAIPORA,159,6.0,194,6.0
BELA VISTA,45,4.0,59,6.0
BODOQUENA,27,2.0,36,2.0
BONITO,489,7.0,525,7.0
BRASILANDIA,102,6.0,108,7.0
CAARAPO,448,6.0,492,6.0
CAMAPUA,46,1.0,47,1.0
CAMPO GRANDE,29296,768.0,32266,843.0
CARACOL,32,,36,
CASSILANDIA,605,26.0,775,30.0
CHAPADAO DO SUL,780,14.0,930,16.0
CORGUINHO,43,1.0,51,1.0
CORONEL SAPUCAIA,83,2.0,114,2.0
CORUMBA,3852,134.0,4258,145.0
COSTA RICA,375,9.0,410,10.0
COXIM,533,16.0,596,16.0
DEODAPOLIS,163,2.0,177,2.0
DOIS IRMAOS DO BURITI,510,13.0,517,13.0
DOURADINA,138,3.0,143,3.0
DOURADOS,6927,119.0,7653,123.0
ELDORADO,149,2.0,156,3.0
FATIMA DO SUL,491,17.0,526,18.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,127,2.0,143,2.0
GUIA LOPES DA LAGUNA,336,11.0,345,12.0
IGUATEMI,337,7.0,340,7.0
INOCENCIA,78,2.0,109,3.0
ITAPORA,344,7.0,364,8.0
ITAQUIRAI,295,9.0,305,9.0
IVINHEMA,271,11.0,332,11.0
JAPORA,3,1.0,5,1.0
JARAGUARI,34,1.0,37,1.0
JARDIM,199,13.0,247,13.0
JATEI,29,1.0,32,2.0
JUTI,218,,219,
LADARIO,728,21.0,801,21.0
LAGUNA CARAPA,44,4.0,48,4.0
MARACAJU,425,10.0,465,11.0
MIRANDA,1162,16.0,1264,21.0
MUNDO NOVO,171,8.0,179,8.0
NAVIRAI,843,45.0,973,46.0
NIOAQUE,314,4.0,322,4.0
NOVA ALVORADA DO SUL,499,9.0,548,9.0
NOVA ANDRADINA,432,21.0,488,22.0
NOVO HORIZONTE DO SUL,21,1.0,22,1.0
PARAISO DAS AGUAS,70,3.0,73,3.0
PARANAIBA,570,17.0,753,20.0
PARANHOS,29,2.0,47,3.0
PEDRO GOMES,27,2.0,33,2.0
PONTA PORA,837,42.0,1033,46.0
PORTO MURTINHO,117,8.0,129,9.0
RIBAS DO RIO PARDO,136,6.0,156,6.0
RIO BRILHANTE,1164,15.0,1193,17.0
RIO NEGRO,32,4.0,51,4.0
RIO VERDE DE MATO GROSSO,207,11.0,229,11.0
ROCHEDO,99,1.0,143,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,920,18.0,971,20.0
SELVIRIA,32,2.0,43,2.0
SETE QUEDAS,28,5.0,49,5.0
SIDROLANDIA,1985,37.0,2031,38.0
SONORA,294,9.0,313,9.0
TACURU,222,2.0,240,2.0
TAQUARUSSU,29,2.0,44,2.0
TERENOS,301,16.0,307,18.0
TRES LAGOAS,1927,59.0,2293,65.0
VICENTINA,110,7.0,115,7.0
