,Casos-2020-09-20,Obitos-2020-09-20,Casos-2020-10-04,Obitos-2020-10-04
AGUA CLARA,160,4.0,220,4.0
ALCINOPOLIS,12,3.0,13,3.0
AMAMBAI,199,13.0,212,14.0
ANASTACIO,614,16.0,670,18.0
ANAURILANDIA,30,1.0,32,1.0
ANGELICA,93,4.0,121,4.0
ANTONIO JOAO,60,,61,
APARECIDA DO TABOADO,815,23.0,912,25.0
AQUIDAUANA,1871,59.0,1960,66.0
ARAL MOREIRA,71,2.0,107,2.0
BANDEIRANTES,68,3.0,71,3.0
BATAGUASSU,790,8.0,827,8.0
BATAIPORA,151,6.0,189,6.0
BELA VISTA,45,4.0,57,6.0
BODOQUENA,27,2.0,34,2.0
BONITO,487,7.0,522,7.0
BRASILANDIA,101,6.0,107,7.0
CAARAPO,438,6.0,487,6.0
CAMAPUA,46,1.0,47,1.0
CAMPO GRANDE,28869,742.0,31970,825.0
CARACOL,32,,36,
CASSILANDIA,583,23.0,761,27.0
CHAPADAO DO SUL,764,14.0,920,16.0
CORGUINHO,43,1.0,51,1.0
CORONEL SAPUCAIA,81,2.0,112,2.0
CORUMBA,3809,132.0,4213,144.0
COSTA RICA,371,9.0,407,10.0
COXIM,525,16.0,591,16.0
DEODAPOLIS,160,2.0,177,2.0
DOIS IRMAOS DO BURITI,510,13.0,516,13.0
DOURADINA,138,3.0,142,3.0
DOURADOS,6877,119.0,7558,123.0
ELDORADO,146,2.0,156,3.0
FATIMA DO SUL,485,17.0,524,18.0
FIGUEIRAO,18,,20,
GLORIA DE DOURADOS,120,2.0,142,2.0
GUIA LOPES DA LAGUNA,335,11.0,344,12.0
IGUATEMI,335,7.0,339,7.0
INOCENCIA,71,2.0,105,3.0
ITAPORA,342,7.0,361,8.0
ITAQUIRAI,295,9.0,305,9.0
IVINHEMA,267,10.0,329,11.0
JAPORA,3,1.0,5,1.0
JARAGUARI,34,1.0,35,1.0
JARDIM,197,13.0,234,13.0
JATEI,29,1.0,32,2.0
JUTI,216,,219,
LADARIO,717,21.0,793,21.0
LAGUNA CARAPA,44,4.0,47,4.0
MARACAJU,415,9.0,462,11.0
MIRANDA,1148,16.0,1259,21.0
MUNDO NOVO,171,8.0,177,8.0
NAVIRAI,829,44.0,958,45.0
NIOAQUE,311,4.0,322,4.0
NOVA ALVORADA DO SUL,492,9.0,547,9.0
NOVA ANDRADINA,425,21.0,481,22.0
NOVO HORIZONTE DO SUL,21,1.0,22,1.0
PARAISO DAS AGUAS,70,3.0,73,3.0
PARANAIBA,546,16.0,740,20.0
PARANHOS,29,2.0,45,3.0
PEDRO GOMES,26,2.0,33,2.0
PONTA PORA,819,41.0,1018,45.0
PORTO MURTINHO,115,8.0,129,9.0
RIBAS DO RIO PARDO,133,6.0,154,6.0
RIO BRILHANTE,1159,14.0,1191,17.0
RIO NEGRO,29,4.0,49,4.0
RIO VERDE DE MATO GROSSO,200,11.0,225,11.0
ROCHEDO,95,1.0,142,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,916,18.0,970,20.0
SELVIRIA,27,2.0,43,2.0
SETE QUEDAS,28,5.0,48,5.0
SIDROLANDIA,1972,36.0,2028,38.0
SONORA,293,9.0,311,9.0
TACURU,222,2.0,239,2.0
TAQUARUSSU,27,2.0,44,2.0
TERENOS,301,16.0,306,18.0
TRES LAGOAS,1862,58.0,2270,64.0
VICENTINA,110,7.0,115,7.0
