,Casos-2020-07-30,Obitos-2020-07-30,Casos-2020-08-13,Obitos-2020-08-13
AGUA CLARA,32,4.0,42,4.0
ALCINOPOLIS,5,3.0,5,3.0
AMAMBAI,85,8.0,94,9.0
ANASTACIO,202,7.0,232,8.0
ANAURILANDIA,28,1.0,29,1.0
ANGELICA,39,3.0,45,3.0
ANTONIO JOAO,39,,47,
APARECIDA DO TABOADO,171,9.0,200,10.0
AQUIDAUANA,821,24.0,953,28.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,52,1.0,56,1.0
BATAGUASSU,445,4.0,556,5.0
BATAIPORA,76,5.0,80,5.0
BELA VISTA,12,1.0,14,1.0
BODOQUENA,3,,3,
BONITO,148,1.0,166,1.0
BRASILANDIA,58,4.0,64,4.0
CAARAPO,210,3.0,233,3.0
CAMAPUA,22,1.0,25,1.0
CAMPO GRANDE,11923,305.0,13198,343.0
CARACOL,12,,12,
CASSILANDIA,78,2.0,92,2.0
CHAPADAO DO SUL,324,6.0,350,6.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,7,,8,
CORUMBA,1440,69.0,1615,75.0
COSTA RICA,193,6.0,219,6.0
COXIM,212,9.0,220,10.0
DEODAPOLIS,89,1.0,90,1.0
DOIS IRMAOS DO BURITI,133,9.0,141,9.0
DOURADINA,121,3.0,123,3.0
DOURADOS,3820,80.0,4048,86.0
ELDORADO,95,1.0,98,1.0
FATIMA DO SUL,271,10.0,284,11.0
FIGUEIRAO,4,,4,
GLORIA DE DOURADOS,49,1.0,51,1.0
GUIA LOPES DA LAGUNA,254,6.0,268,6.0
IGUATEMI,253,6.0,263,6.0
INOCENCIA,26,,30,
ITAPORA,200,5.0,213,5.0
ITAQUIRAI,193,6.0,204,6.0
IVINHEMA,96,2.0,102,2.0
JARAGUARI,19,1.0,20,1.0
JARDIM,80,7.0,91,8.0
JATEI,26,,26,
JUTI,148,,160,
LADARIO,281,6.0,311,9.0
LAGUNA CARAPA,24,4.0,30,4.0
MARACAJU,211,6.0,221,6.0
MIRANDA,312,6.0,346,6.0
MUNDO NOVO,96,4.0,102,4.0
NAVIRAI,425,20.0,475,22.0
NIOAQUE,104,2.0,117,2.0
NOVA ALVORADA DO SUL,146,4.0,149,4.0
NOVA ANDRADINA,154,12.0,168,12.0
NOVO HORIZONTE DO SUL,15,1.0,15,1.0
PARAISO DAS AGUAS,44,1.0,46,1.0
PARANAIBA,199,6.0,213,6.0
PARANHOS,7,1.0,8,1.0
PEDRO GOMES,1,1.0,1,2.0
PONTA PORA,290,27.0,325,29.0
PORTO MURTINHO,55,4.0,61,4.0
RIBAS DO RIO PARDO,41,3.0,43,3.0
RIO BRILHANTE,629,6.0,649,6.0
RIO NEGRO,20,2.0,21,2.0
RIO VERDE DE MATO GROSSO,87,5.0,89,5.0
ROCHEDO,59,,62,
SANTA RITA DO PARDO,41,1.0,44,1.0
SAO GABRIEL DO OESTE,560,9.0,597,10.0
SELVIRIA,4,1.0,5,1.0
SETE QUEDAS,8,2.0,8,2.0
SIDROLANDIA,844,23.0,976,24.0
SONORA,145,6.0,161,6.0
TACURU,80,,89,
TAQUARUSSU,5,,5,
TERENOS,171,11.0,184,13.0
TRES LAGOAS,738,38.0,798,41.0
VICENTINA,90,4.0,90,4.0
