,Casos-2020-08-15,Obitos-2020-08-15,Casos-2020-08-29,Obitos-2020-08-29
AGUA CLARA,49,3.0,65,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,107,10.0,150,11.0
ANASTACIO,264,9.0,361,14.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,49,3.0,57,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,247,11.0,535,17.0
AQUIDAUANA,1085,33.0,1378,42.0
ARAL MOREIRA,32,1.0,38,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,565,5.0,601,7.0
BATAIPORA,82,5.0,89,5.0
BELA VISTA,15,1.0,17,2.0
BODOQUENA,6,,7,1.0
BONITO,197,1.0,355,4.0
BRASILANDIA,69,4.0,78,5.0
CAARAPO,243,3.0,300,4.0
CAMAPUA,25,1.0,31,1.0
CAMPO GRANDE,13982,371.0,19075,496.0
CARACOL,12,,14,
CASSILANDIA,115,3.0,272,6.0
CHAPADAO DO SUL,365,7.0,467,12.0
CORGUINHO,19,,24,
CORONEL SAPUCAIA,8,,24,1.0
CORUMBA,1670,78.0,2360,103.0
COSTA RICA,232,6.0,287,8.0
COXIM,224,10.0,404,10.0
DEODAPOLIS,91,1.0,116,2.0
DOIS IRMAOS DO BURITI,147,10.0,226,13.0
DOURADINA,123,3.0,130,3.0
DOURADOS,4226,90.0,4829,101.0
ELDORADO,101,1.0,112,2.0
FATIMA DO SUL,290,12.0,343,14.0
FIGUEIRAO,4,,10,
GLORIA DE DOURADOS,56,1.0,64,1.0
GUIA LOPES DA LAGUNA,268,7.0,290,8.0
IGUATEMI,268,6.0,280,7.0
INOCENCIA,30,,36,1.0
ITAPORA,222,5.0,267,6.0
ITAQUIRAI,217,6.0,241,8.0
IVINHEMA,107,2.0,164,3.0
JARAGUARI,20,1.0,20,1.0
JARDIM,97,9.0,128,10.0
JATEI,26,,26,1.0
JUTI,162,,167,
LADARIO,335,11.0,501,13.0
LAGUNA CARAPA,29,4.0,29,4.0
MARACAJU,228,7.0,288,8.0
MIRANDA,406,10.0,612,12.0
MUNDO NOVO,105,4.0,125,5.0
NAVIRAI,502,23.0,609,33.0
NIOAQUE,131,3.0,188,4.0
NOVA ALVORADA DO SUL,171,4.0,328,7.0
NOVA ANDRADINA,174,13.0,220,15.0
NOVO HORIZONTE DO SUL,15,1.0,17,1.0
PARAISO DAS AGUAS,50,2.0,50,3.0
PARANAIBA,233,6.0,355,9.0
PARANHOS,7,1.0,16,1.0
PEDRO GOMES,2,2.0,12,2.0
PONTA PORA,360,29.0,525,32.0
PORTO MURTINHO,64,4.0,95,5.0
RIBAS DO RIO PARDO,50,3.0,83,4.0
RIO BRILHANTE,697,7.0,819,8.0
RIO NEGRO,22,3.0,23,3.0
RIO VERDE DE MATO GROSSO,93,5.0,133,9.0
ROCHEDO,62,,65,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,618,10.0,708,12.0
SELVIRIA,6,1.0,7,1.0
SETE QUEDAS,12,2.0,15,2.0
SIDROLANDIA,1069,24.0,1588,30.0
SONORA,171,6.0,184,7.0
TACURU,95,1.0,153,1.0
TAQUARUSSU,6,,7,
TERENOS,199,14.0,236,14.0
TRES LAGOAS,865,41.0,1156,45.0
VICENTINA,88,5.0,98,5.0
