,Casos-2020-07-27,Obitos-2020-07-27,Casos-2020-08-10,Obitos-2020-08-10
AGUA CLARA,31,4.0,41,4.0
ALCINOPOLIS,5,3.0,5,3.0
AMAMBAI,75,7.0,92,9.0
ANASTACIO,132,6.0,219,7.0
ANAURILANDIA,29,1.0,30,1.0
ANGELICA,32,3.0,44,3.0
ANTONIO JOAO,40,,48,
APARECIDA DO TABOADO,159,9.0,186,10.0
AQUIDAUANA,662,21.0,881,27.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,45,1.0,55,1.0
BATAGUASSU,393,2.0,549,5.0
BATAIPORA,68,5.0,75,5.0
BELA VISTA,11,1.0,14,1.0
BODOQUENA,3,,3,
BONITO,146,1.0,152,1.0
BRASILANDIA,58,4.0,64,4.0
CAARAPO,170,3.0,232,3.0
CAMAPUA,22,1.0,25,1.0
CAMPO GRANDE,10738,279.0,12642,331.0
CARACOL,12,,12,
CASSILANDIA,68,2.0,78,2.0
CHAPADAO DO SUL,312,5.0,346,6.0
CORGUINHO,20,,20,
CORONEL SAPUCAIA,6,,8,
CORUMBA,1285,64.0,1557,75.0
COSTA RICA,180,6.0,213,6.0
COXIM,196,9.0,222,10.0
DEODAPOLIS,86,1.0,90,1.0
DOIS IRMAOS DO BURITI,96,9.0,139,9.0
DOURADINA,120,3.0,123,3.0
DOURADOS,3690,78.0,4013,84.0
ELDORADO,87,1.0,96,1.0
FATIMA DO SUL,268,9.0,283,11.0
FIGUEIRAO,2,,4,
GLORIA DE DOURADOS,46,1.0,51,1.0
GUIA LOPES DA LAGUNA,245,6.0,266,6.0
IGUATEMI,203,6.0,263,6.0
INOCENCIA,20,,29,
ITAPORA,193,5.0,207,5.0
ITAQUIRAI,171,6.0,201,6.0
IVINHEMA,89,2.0,102,2.0
JARAGUARI,17,1.0,20,1.0
JARDIM,72,7.0,87,7.0
JATEI,26,,26,
JUTI,142,,160,
LADARIO,235,5.0,294,8.0
LAGUNA CARAPA,22,4.0,30,4.0
MARACAJU,197,5.0,219,6.0
MIRANDA,228,6.0,304,6.0
MUNDO NOVO,89,4.0,98,4.0
NAVIRAI,386,19.0,461,22.0
NIOAQUE,92,2.0,117,2.0
NOVA ALVORADA DO SUL,119,3.0,148,4.0
NOVA ANDRADINA,143,12.0,164,12.0
NOVO HORIZONTE DO SUL,15,1.0,15,1.0
PARAISO DAS AGUAS,33,1.0,43,1.0
PARANAIBA,188,6.0,206,6.0
PARANHOS,7,1.0,8,1.0
PEDRO GOMES,1,1.0,1,2.0
PONTA PORA,272,27.0,315,29.0
PORTO MURTINHO,52,4.0,58,4.0
RIBAS DO RIO PARDO,39,3.0,42,3.0
RIO BRILHANTE,576,6.0,642,6.0
RIO NEGRO,16,2.0,21,2.0
RIO VERDE DE MATO GROSSO,69,4.0,87,5.0
ROCHEDO,56,,61,
SANTA RITA DO PARDO,41,1.0,44,1.0
SAO GABRIEL DO OESTE,510,9.0,588,10.0
SELVIRIA,3,1.0,5,1.0
SETE QUEDAS,8,1.0,8,1.0
SIDROLANDIA,681,20.0,919,24.0
SONORA,134,5.0,159,6.0
TACURU,68,,86,
TAQUARUSSU,4,,5,
TERENOS,155,10.0,181,13.0
TRES LAGOAS,685,35.0,781,39.0
VICENTINA,89,4.0,90,4.0
