,Casos-2020-10-13,Obitos-2020-10-13,Casos-2020-10-27,Obitos-2020-10-27
AGUA CLARA,245,5.0,270,6.0
ALCINOPOLIS,20,3.0,21,3.0
AMAMBAI,241,14.0,277,14.0
ANASTACIO,710,21.0,752,23.0
ANAURILANDIA,39,1.0,40,2.0
ANGELICA,137,4.0,143,4.0
ANTONIO JOAO,61,1.0,66,1.0
APARECIDA DO TABOADO,944,26.0,1005,27.0
AQUIDAUANA,1994,68.0,2083,71.0
ARAL MOREIRA,117,2.0,126,2.0
BANDEIRANTES,74,4.0,80,4.0
BATAGUASSU,862,8.0,899,8.0
BATAIPORA,219,6.0,232,6.0
BELA VISTA,64,6.0,70,6.0
BODOQUENA,38,2.0,47,2.0
BONITO,538,7.0,603,7.0
BRASILANDIA,110,7.0,111,7.0
CAARAPO,520,6.0,639,7.0
CAMAPUA,54,2.0,70,2.0
CAMPO GRANDE,33565,881.0,35710,954.0
CARACOL,37,,37,
CASSILANDIA,828,33.0,934,37.0
CHAPADAO DO SUL,995,18.0,1030,19.0
CORGUINHO,56,1.0,62,1.0
CORONEL SAPUCAIA,118,3.0,128,3.0
CORUMBA,4452,157.0,4763,167.0
COSTA RICA,438,13.0,454,13.0
COXIM,615,16.0,635,19.0
DEODAPOLIS,185,2.0,198,2.0
DOIS IRMAOS DO BURITI,520,13.0,523,13.0
DOURADINA,146,3.0,147,3.0
DOURADOS,7847,129.0,8489,134.0
ELDORADO,156,3.0,159,3.0
FATIMA DO SUL,534,20.0,541,22.0
FIGUEIRAO,21,,21,
GLORIA DE DOURADOS,150,2.0,153,2.0
GUIA LOPES DA LAGUNA,353,12.0,361,12.0
IGUATEMI,342,7.0,344,7.0
INOCENCIA,115,4.0,118,4.0
ITAPORA,370,8.0,372,10.0
ITAQUIRAI,309,9.0,317,10.0
IVINHEMA,359,12.0,383,12.0
JAPORA,5,1.0,7,3.0
JARAGUARI,40,1.0,41,1.0
JARDIM,297,14.0,332,17.0
JATEI,39,2.0,54,2.0
JUTI,219,,223,
LADARIO,858,21.0,961,23.0
LAGUNA CARAPA,48,4.0,49,4.0
MARACAJU,486,12.0,532,13.0
MIRANDA,1288,27.0,1315,33.0
MUNDO NOVO,198,9.0,248,9.0
NAVIRAI,1056,48.0,1155,52.0
NIOAQUE,325,5.0,328,5.0
NOVA ALVORADA DO SUL,564,10.0,567,11.0
NOVA ANDRADINA,529,23.0,552,24.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,79,3.0,81,3.0
PARANAIBA,781,24.0,836,25.0
PARANHOS,57,3.0,64,4.0
PEDRO GOMES,36,3.0,42,3.0
PONTA PORA,1122,51.0,1265,61.0
PORTO MURTINHO,139,9.0,250,11.0
RIBAS DO RIO PARDO,169,6.0,195,6.0
RIO BRILHANTE,1207,20.0,1216,20.0
RIO NEGRO,57,5.0,61,5.0
RIO VERDE DE MATO GROSSO,242,13.0,265,15.0
ROCHEDO,157,2.0,158,2.0
SANTA RITA DO PARDO,50,1.0,58,1.0
SAO GABRIEL DO OESTE,995,22.0,1051,22.0
SELVIRIA,46,2.0,49,2.0
SETE QUEDAS,55,5.0,67,5.0
SIDROLANDIA,2068,39.0,2122,40.0
SONORA,322,9.0,332,9.0
TACURU,285,2.0,306,2.0
TAQUARUSSU,46,2.0,58,2.0
TERENOS,312,19.0,321,21.0
TRES LAGOAS,2439,64.0,2878,70.0
VICENTINA,119,7.0,129,7.0
