,Casos-2020-09-24,Obitos-2020-09-24,Casos-2020-10-08,Obitos-2020-10-08
AGUA CLARA,195,5.0,243,5.0
ALCINOPOLIS,13,3.0,18,3.0
AMAMBAI,205,14.0,224,14.0
ANASTACIO,643,17.0,688,18.0
ANAURILANDIA,32,1.0,35,1.0
ANGELICA,107,4.0,130,4.0
ANTONIO JOAO,60,,61,1.0
APARECIDA DO TABOADO,858,24.0,924,25.0
AQUIDAUANA,1894,61.0,1965,67.0
ARAL MOREIRA,84,2.0,112,2.0
BANDEIRANTES,69,3.0,71,3.0
BATAGUASSU,808,8.0,845,8.0
BATAIPORA,175,6.0,198,6.0
BELA VISTA,46,4.0,62,6.0
BODOQUENA,29,2.0,39,2.0
BONITO,497,7.0,534,7.0
BRASILANDIA,103,6.0,108,7.0
CAARAPO,454,6.0,495,6.0
CAMAPUA,46,2.0,50,2.0
CAMPO GRANDE,30005,807.0,32724,867.0
CARACOL,33,,36,
CASSILANDIA,663,27.0,808,30.0
CHAPADAO DO SUL,813,15.0,954,16.0
CORGUINHO,46,1.0,51,1.0
CORONEL SAPUCAIA,91,3.0,117,3.0
CORUMBA,3984,138.0,4366,151.0
COSTA RICA,379,11.0,425,11.0
COXIM,545,16.0,604,16.0
DEODAPOLIS,171,2.0,184,2.0
DOIS IRMAOS DO BURITI,510,13.0,519,13.0
DOURADINA,138,3.0,143,3.0
DOURADOS,7118,123.0,7775,129.0
ELDORADO,150,2.0,156,3.0
FATIMA DO SUL,497,17.0,528,18.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,137,2.0,147,2.0
GUIA LOPES DA LAGUNA,337,11.0,348,12.0
IGUATEMI,337,7.0,344,7.0
INOCENCIA,80,2.0,112,4.0
ITAPORA,355,7.0,371,8.0
ITAQUIRAI,301,9.0,309,9.0
IVINHEMA,295,11.0,343,12.0
JAPORA,4,1.0,5,1.0
JARAGUARI,34,1.0,39,1.0
JARDIM,208,13.0,268,14.0
JATEI,30,1.0,37,2.0
JUTI,219,,219,
LADARIO,748,21.0,823,21.0
LAGUNA CARAPA,44,4.0,48,4.0
MARACAJU,435,10.0,474,11.0
MIRANDA,1199,18.0,1268,23.0
MUNDO NOVO,172,8.0,184,9.0
NAVIRAI,880,46.0,1003,47.0
NIOAQUE,319,4.0,324,4.0
NOVA ALVORADA DO SUL,522,9.0,549,10.0
NOVA ANDRADINA,448,22.0,508,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,71,3.0,74,3.0
PARANAIBA,594,18.0,762,21.0
PARANHOS,35,2.0,50,3.0
PEDRO GOMES,30,2.0,35,2.0
PONTA PORA,884,46.0,1079,49.0
PORTO MURTINHO,125,9.0,134,9.0
RIBAS DO RIO PARDO,144,6.0,165,6.0
RIO BRILHANTE,1179,17.0,1201,18.0
RIO NEGRO,38,4.0,57,4.0
RIO VERDE DE MATO GROSSO,210,12.0,233,12.0
ROCHEDO,121,1.0,148,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,942,18.0,979,20.0
SELVIRIA,36,2.0,45,2.0
SETE QUEDAS,33,5.0,55,5.0
SIDROLANDIA,1999,38.0,2058,39.0
SONORA,299,9.0,313,9.0
TACURU,232,2.0,260,2.0
TAQUARUSSU,35,2.0,44,2.0
TERENOS,302,17.0,309,19.0
TRES LAGOAS,2050,61.0,2363,67.0
VICENTINA,112,7.0,119,7.0
