,Casos-2020-07-24,Obitos-2020-07-24,Casos-2020-08-07,Obitos-2020-08-07
AGUA CLARA,29,,39,
ALCINOPOLIS,4,1.0,5,1.0
AMAMBAI,75,1.0,91,2.0
ANASTACIO,96,3.0,195,5.0
ANAURILANDIA,29,,29,
ANGELICA,31,2.0,44,3.0
ANTONIO JOAO,37,,47,
APARECIDA DO TABOADO,129,2.0,184,6.0
AQUIDAUANA,530,12.0,762,19.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,42,,52,
BATAGUASSU,366,1.0,553,4.0
BATAIPORA,65,3.0,73,3.0
BELA VISTA,11,,14,
BODOQUENA,5,,5,
BONITO,142,,151,
BRASILANDIA,55,1.0,66,1.0
CAARAPO,164,,223,1.0
CAMAPUA,21,1.0,24,1.0
CAMPO GRANDE,9457,93.0,11974,149.0
CARACOL,12,,12,
CASSILANDIA,58,1.0,71,1.0
CHAPADAO DO SUL,300,1.0,337,3.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,6,,8,
CORUMBA,1178,38.0,1529,55.0
COSTA RICA,167,2.0,202,3.0
COXIM,167,3.0,220,3.0
DEODAPOLIS,83,1.0,90,1.0
DOIS IRMAOS DO BURITI,58,3.0,114,4.0
DOURADINA,119,1.0,123,1.0
DOURADOS,3580,42.0,3966,50.0
ELDORADO,73,,89,
FATIMA DO SUL,263,4.0,283,5.0
FIGUEIRAO,2,,4,
GLORIA DE DOURADOS,46,1.0,51,1.0
GUIA LOPES DA LAGUNA,242,4.0,264,4.0
IGUATEMI,130,2.0,264,2.0
INOCENCIA,15,,28,
ITAPORA,186,3.0,203,3.0
ITAQUIRAI,163,5.0,199,5.0
IVINHEMA,86,,100,
JARAGUARI,15,,20,
JARDIM,68,1.0,84,1.0
JATEI,26,,26,
JUTI,137,,157,
LADARIO,205,4.0,276,7.0
LAGUNA CARAPA,22,1.0,30,1.0
MARACAJU,189,,217,2.0
MIRANDA,163,1.0,251,3.0
MUNDO NOVO,86,,97,
NAVIRAI,343,5.0,446,8.0
NIOAQUE,82,1.0,103,2.0
NOVA ALVORADA DO SUL,112,1.0,145,1.0
NOVA ANDRADINA,141,3.0,162,5.0
NOVO HORIZONTE DO SUL,15,,15,
PARAISO DAS AGUAS,27,1.0,39,1.0
PARANAIBA,175,1.0,201,1.0
PARANHOS,6,,6,
PEDRO GOMES,1,,1,
PONTA PORA,252,5.0,312,6.0
PORTO MURTINHO,50,1.0,55,1.0
RIBAS DO RIO PARDO,39,,42,
RIO BRILHANTE,535,1.0,627,1.0
RIO NEGRO,15,1.0,21,1.0
RIO VERDE DE MATO GROSSO,55,3.0,86,3.0
ROCHEDO,54,,61,
SANTA RITA DO PARDO,38,,42,
SAO GABRIEL DO OESTE,478,3.0,571,4.0
SELVIRIA,3,,5,
SETE QUEDAS,6,,6,
SIDROLANDIA,619,5.0,905,9.0
SONORA,118,2.0,157,2.0
TACURU,57,,78,
TAQUARUSSU,3,,4,
TERENOS,144,3.0,172,6.0
TRES LAGOAS,612,11.0,739,17.0
VICENTINA,86,3.0,88,3.0
