,Casos-2020-09-07,Obitos-2020-09-07,Casos-2020-09-21,Obitos-2020-09-21
AGUA CLARA,75,3.0,146,3.0
ALCINOPOLIS,9,3.0,9,3.0
AMAMBAI,159,12.0,178,13.0
ANASTACIO,458,15.0,540,16.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,62,3.0,86,3.0
ANTONIO JOAO,51,,56,
APARECIDA DO TABOADO,632,22.0,740,24.0
AQUIDAUANA,1632,48.0,1731,56.0
ARAL MOREIRA,51,1.0,72,2.0
BANDEIRANTES,61,2.0,65,2.0
BATAGUASSU,672,7.0,699,8.0
BATAIPORA,117,5.0,137,6.0
BELA VISTA,24,3.0,41,4.0
BODOQUENA,14,2.0,19,2.0
BONITO,400,6.0,437,7.0
BRASILANDIA,90,5.0,92,6.0
CAARAPO,345,5.0,405,5.0
CAMAPUA,37,1.0,39,1.0
CAMPO GRANDE,22876,599.0,25863,688.0
CARACOL,14,,26,
CASSILANDIA,394,11.0,549,16.0
CHAPADAO DO SUL,566,11.0,694,12.0
CORGUINHO,32,1.0,32,1.0
CORONEL SAPUCAIA,49,2.0,75,2.0
CORUMBA,2913,113.0,3477,129.0
COSTA RICA,318,9.0,343,9.0
COXIM,455,13.0,504,15.0
DEODAPOLIS,126,2.0,135,2.0
DOIS IRMAOS DO BURITI,473,13.0,473,13.0
DOURADINA,130,3.0,130,3.0
DOURADOS,5628,113.0,6162,117.0
ELDORADO,128,2.0,135,2.0
FATIMA DO SUL,411,16.0,461,17.0
FIGUEIRAO,13,,19,
GLORIA DE DOURADOS,80,1.0,120,2.0
GUIA LOPES DA LAGUNA,302,9.0,309,10.0
IGUATEMI,299,7.0,305,7.0
INOCENCIA,48,1.0,71,2.0
ITAPORA,293,7.0,312,7.0
ITAQUIRAI,268,8.0,276,9.0
IVINHEMA,218,5.0,252,9.0
JAPORA,1,1.0,3,1.0
JARAGUARI,30,1.0,31,1.0
JARDIM,139,13.0,164,14.0
JATEI,27,1.0,27,1.0
JUTI,182,,187,
LADARIO,617,16.0,679,19.0
LAGUNA CARAPA,35,4.0,39,4.0
MARACAJU,322,9.0,368,10.0
MIRANDA,875,15.0,985,16.0
MUNDO NOVO,139,7.0,142,7.0
NAVIRAI,693,38.0,748,40.0
NIOAQUE,204,4.0,211,4.0
NOVA ALVORADA DO SUL,423,9.0,472,9.0
NOVA ANDRADINA,350,17.0,386,17.0
NOVO HORIZONTE DO SUL,19,1.0,19,1.0
PARAISO DAS AGUAS,56,3.0,58,3.0
PARANAIBA,420,13.0,513,15.0
PARANHOS,21,1.0,25,1.0
PEDRO GOMES,19,2.0,22,2.0
PONTA PORA,607,34.0,733,36.0
PORTO MURTINHO,109,6.0,113,7.0
RIBAS DO RIO PARDO,108,6.0,117,6.0
RIO BRILHANTE,991,10.0,1066,14.0
RIO NEGRO,26,3.0,30,4.0
RIO VERDE DE MATO GROSSO,156,9.0,184,11.0
ROCHEDO,68,1.0,92,1.0
SANTA RITA DO PARDO,47,1.0,47,1.0
SAO GABRIEL DO OESTE,781,17.0,835,18.0
SELVIRIA,11,1.0,26,1.0
SETE QUEDAS,25,2.0,26,4.0
SIDROLANDIA,1688,33.0,1772,36.0
SONORA,237,7.0,242,9.0
TACURU,176,2.0,202,2.0
TAQUARUSSU,13,,23,2.0
TERENOS,258,14.0,268,15.0
TRES LAGOAS,1393,49.0,1701,55.0
VICENTINA,103,6.0,103,7.0
