,Casos-2020-08-12,Obitos-2020-08-12,Casos-2020-08-26,Obitos-2020-08-26
AGUA CLARA,42,3.0,64,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,91,10.0,128,11.0
ANASTACIO,235,7.0,342,12.0
ANAURILANDIA,29,1.0,29,1.0
ANGELICA,46,3.0,57,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,185,10.0,475,15.0
AQUIDAUANA,974,28.0,1341,40.0
ARAL MOREIRA,30,1.0,35,1.0
BANDEIRANTES,56,1.0,59,1.0
BATAGUASSU,556,5.0,579,7.0
BATAIPORA,79,5.0,86,5.0
BELA VISTA,15,1.0,16,1.0
BODOQUENA,5,,6,1.0
BONITO,150,1.0,315,3.0
BRASILANDIA,68,4.0,77,5.0
CAARAPO,232,3.0,276,3.0
CAMAPUA,25,1.0,30,1.0
CAMPO GRANDE,12690,337.0,17881,466.0
CARACOL,12,,14,
CASSILANDIA,82,2.0,216,5.0
CHAPADAO DO SUL,344,6.0,440,12.0
CORGUINHO,19,,24,
CORONEL SAPUCAIA,8,,21,1.0
CORUMBA,1567,73.0,2198,97.0
COSTA RICA,214,6.0,277,6.0
COXIM,220,10.0,391,10.0
DEODAPOLIS,90,1.0,110,2.0
DOIS IRMAOS DO BURITI,147,9.0,192,13.0
DOURADINA,123,3.0,130,3.0
DOURADOS,4031,85.0,4648,98.0
ELDORADO,97,1.0,108,2.0
FATIMA DO SUL,283,11.0,323,12.0
FIGUEIRAO,4,,5,
GLORIA DE DOURADOS,51,1.0,59,1.0
GUIA LOPES DA LAGUNA,267,6.0,286,7.0
IGUATEMI,262,6.0,277,7.0
INOCENCIA,29,,36,1.0
ITAPORA,214,5.0,260,6.0
ITAQUIRAI,202,6.0,235,8.0
IVINHEMA,102,2.0,149,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,88,8.0,124,10.0
JATEI,26,,26,1.0
JUTI,162,,167,
LADARIO,309,8.0,449,13.0
LAGUNA CARAPA,30,4.0,30,4.0
MARACAJU,219,7.0,266,8.0
MIRANDA,333,7.0,537,11.0
MUNDO NOVO,103,4.0,123,5.0
NAVIRAI,463,22.0,589,33.0
NIOAQUE,119,2.0,183,3.0
NOVA ALVORADA DO SUL,156,4.0,285,6.0
NOVA ANDRADINA,167,11.0,201,13.0
NOVO HORIZONTE DO SUL,15,1.0,17,1.0
PARAISO DAS AGUAS,45,1.0,49,3.0
PARANAIBA,207,6.0,325,9.0
PARANHOS,6,1.0,12,1.0
PEDRO GOMES,1,2.0,10,2.0
PONTA PORA,324,29.0,484,31.0
PORTO MURTINHO,57,4.0,94,4.0
RIBAS DO RIO PARDO,41,3.0,81,4.0
RIO BRILHANTE,665,6.0,778,8.0
RIO NEGRO,21,2.0,22,3.0
RIO VERDE DE MATO GROSSO,87,5.0,124,8.0
ROCHEDO,61,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,589,10.0,697,12.0
SELVIRIA,5,1.0,6,1.0
SETE QUEDAS,8,2.0,11,2.0
SIDROLANDIA,926,24.0,1457,29.0
SONORA,165,6.0,180,7.0
TACURU,89,,149,1.0
TAQUARUSSU,5,,6,
TERENOS,185,13.0,227,14.0
TRES LAGOAS,789,39.0,1088,44.0
VICENTINA,88,4.0,97,5.0
