,Casos-2020-08-06,Obitos-2020-08-06,Casos-2020-08-20,Obitos-2020-08-20
AGUA CLARA,41,4.0,51,4.0
ALCINOPOLIS,5,3.0,5,3.0
AMAMBAI,87,9.0,113,10.0
ANASTACIO,218,7.0,289,9.0
ANAURILANDIA,28,1.0,29,1.0
ANGELICA,45,3.0,53,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,176,10.0,325,11.0
AQUIDAUANA,867,26.0,1159,36.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,54,1.0,57,1.0
BATAGUASSU,454,5.0,569,6.0
BATAIPORA,79,5.0,82,5.0
BELA VISTA,12,1.0,15,1.0
BODOQUENA,4,,4,
BONITO,149,1.0,235,1.0
BRASILANDIA,65,4.0,74,5.0
CAARAPO,221,3.0,249,3.0
CAMAPUA,22,1.0,26,1.0
CAMPO GRANDE,12312,324.0,15600,400.0
CARACOL,12,,12,
CASSILANDIA,83,2.0,127,3.0
CHAPADAO DO SUL,331,6.0,390,9.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,8,,12,
CORUMBA,1511,72.0,1887,85.0
COSTA RICA,200,6.0,254,6.0
COXIM,219,10.0,271,10.0
DEODAPOLIS,90,1.0,102,1.0
DOIS IRMAOS DO BURITI,139,9.0,147,12.0
DOURADINA,121,3.0,126,3.0
DOURADOS,3936,81.0,4334,91.0
ELDORADO,97,1.0,101,2.0
FATIMA DO SUL,282,10.0,296,11.0
FIGUEIRAO,4,,4,
GLORIA DE DOURADOS,49,1.0,55,1.0
GUIA LOPES DA LAGUNA,268,6.0,271,8.0
IGUATEMI,258,6.0,272,7.0
INOCENCIA,29,,34,
ITAPORA,211,5.0,230,5.0
ITAQUIRAI,201,6.0,220,7.0
IVINHEMA,99,2.0,112,2.0
JARAGUARI,21,1.0,21,1.0
JARDIM,88,8.0,107,9.0
JATEI,26,,26,
JUTI,150,,167,
LADARIO,297,8.0,377,12.0
LAGUNA CARAPA,23,4.0,29,4.0
MARACAJU,212,7.0,246,8.0
MIRANDA,335,7.0,421,10.0
MUNDO NOVO,102,4.0,108,4.0
NAVIRAI,443,21.0,537,28.0
NIOAQUE,106,2.0,149,3.0
NOVA ALVORADA DO SUL,147,4.0,162,5.0
NOVA ANDRADINA,161,12.0,183,13.0
NOVO HORIZONTE DO SUL,15,1.0,16,1.0
PARAISO DAS AGUAS,44,1.0,49,2.0
PARANAIBA,204,6.0,254,8.0
PARANHOS,6,1.0,9,1.0
PEDRO GOMES,1,2.0,7,2.0
PONTA PORA,315,28.0,402,30.0
PORTO MURTINHO,55,4.0,79,4.0
RIBAS DO RIO PARDO,42,3.0,58,3.0
RIO BRILHANTE,654,6.0,710,8.0
RIO NEGRO,21,2.0,22,3.0
RIO VERDE DE MATO GROSSO,87,5.0,106,7.0
ROCHEDO,61,,64,
SANTA RITA DO PARDO,41,1.0,44,1.0
SAO GABRIEL DO OESTE,574,9.0,658,11.0
SELVIRIA,5,1.0,5,1.0
SETE QUEDAS,8,2.0,9,2.0
SIDROLANDIA,904,24.0,1236,29.0
SONORA,158,6.0,167,7.0
TACURU,82,,105,1.0
TAQUARUSSU,5,,6,
TERENOS,176,13.0,211,14.0
TRES LAGOAS,766,38.0,934,39.0
VICENTINA,89,4.0,92,5.0
