,Casos-2020-10-24,Obitos-2020-10-24,Casos-2020-11-07,Obitos-2020-11-07
AGUA CLARA,268,6.0,280,6.0
ALCINOPOLIS,21,4.0,21,4.0
AMAMBAI,272,14.0,285,14.0
ANASTACIO,750,24.0,771,24.0
ANAURILANDIA,40,2.0,40,2.0
ANGELICA,143,4.0,148,4.0
ANTONIO JOAO,65,1.0,66,1.0
APARECIDA DO TABOADO,1004,28.0,1052,28.0
AQUIDAUANA,2068,71.0,2115,71.0
ARAL MOREIRA,125,2.0,138,2.0
BANDEIRANTES,80,4.0,83,5.0
BATAGUASSU,889,8.0,926,9.0
BATAIPORA,230,6.0,239,6.0
BELA VISTA,70,6.0,77,6.0
BODOQUENA,42,2.0,53,2.0
BONITO,594,7.0,624,7.0
BRASILANDIA,111,7.0,116,7.0
CAARAPO,629,7.0,682,7.0
CAMAPUA,69,2.0,73,2.0
CAMPO GRANDE,35342,976.0,37600,1025.0
CARACOL,37,,37,
CASSILANDIA,901,38.0,952,41.0
CHAPADAO DO SUL,1026,19.0,1073,19.0
CORGUINHO,62,1.0,64,1.0
CORONEL SAPUCAIA,125,3.0,144,3.0
CORUMBA,4700,166.0,4993,176.0
COSTA RICA,453,13.0,457,13.0
COXIM,633,20.0,647,21.0
DEODAPOLIS,190,2.0,213,2.0
DOIS IRMAOS DO BURITI,522,13.0,524,13.0
DOURADINA,147,3.0,148,3.0
DOURADOS,8430,140.0,8917,143.0
ELDORADO,159,3.0,162,3.0
FATIMA DO SUL,541,22.0,544,23.0
FIGUEIRAO,21,,22,
GLORIA DE DOURADOS,152,2.0,156,2.0
GUIA LOPES DA LAGUNA,359,12.0,369,14.0
IGUATEMI,343,7.0,345,7.0
INOCENCIA,118,4.0,119,5.0
ITAPORA,373,11.0,390,11.0
ITAQUIRAI,318,10.0,337,10.0
IVINHEMA,379,12.0,391,12.0
JAPORA,6,3.0,9,3.0
JARAGUARI,40,1.0,41,1.0
JARDIM,324,16.0,340,18.0
JATEI,47,2.0,57,2.0
JUTI,223,,223,
LADARIO,943,22.0,990,25.0
LAGUNA CARAPA,49,4.0,51,4.0
MARACAJU,516,15.0,611,15.0
MIRANDA,1313,33.0,1336,35.0
MUNDO NOVO,237,9.0,280,10.0
NAVIRAI,1144,53.0,1234,54.0
NIOAQUE,328,5.0,330,5.0
NOVA ALVORADA DO SUL,566,11.0,578,11.0
NOVA ANDRADINA,550,24.0,565,25.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,81,3.0,81,3.0
PARANAIBA,811,25.0,913,25.0
PARANHOS,64,3.0,65,4.0
PEDRO GOMES,41,3.0,43,4.0
PONTA PORA,1232,62.0,1334,67.0
PORTO MURTINHO,217,13.0,291,16.0
RIBAS DO RIO PARDO,193,7.0,206,7.0
RIO BRILHANTE,1216,20.0,1225,21.0
RIO NEGRO,61,6.0,61,6.0
RIO VERDE DE MATO GROSSO,264,16.0,284,17.0
ROCHEDO,158,2.0,160,2.0
SANTA RITA DO PARDO,55,1.0,69,1.0
SAO GABRIEL DO OESTE,1026,24.0,1083,24.0
SELVIRIA,49,2.0,54,2.0
SETE QUEDAS,65,5.0,82,5.0
SIDROLANDIA,2107,40.0,2163,41.0
SONORA,331,9.0,342,9.0
TACURU,305,2.0,309,2.0
TAQUARUSSU,57,2.0,58,2.0
TERENOS,320,21.0,332,21.0
TRES LAGOAS,2799,69.0,3122,73.0
VICENTINA,123,7.0,130,7.0
