,Casos-2020-10-10,Obitos-2020-10-10,Casos-2020-10-24,Obitos-2020-10-24
AGUA CLARA,241,5.0,268,6.0
ALCINOPOLIS,18,3.0,21,3.0
AMAMBAI,238,14.0,272,14.0
ANASTACIO,696,20.0,748,23.0
ANAURILANDIA,37,1.0,39,2.0
ANGELICA,135,4.0,143,4.0
ANTONIO JOAO,61,1.0,65,1.0
APARECIDA DO TABOADO,933,26.0,1003,27.0
AQUIDAUANA,1972,68.0,2067,71.0
ARAL MOREIRA,114,2.0,124,2.0
BANDEIRANTES,73,4.0,78,4.0
BATAGUASSU,854,8.0,884,8.0
BATAIPORA,209,6.0,229,6.0
BELA VISTA,63,6.0,70,6.0
BODOQUENA,38,2.0,42,2.0
BONITO,532,7.0,596,7.0
BRASILANDIA,109,7.0,111,7.0
CAARAPO,505,6.0,628,7.0
CAMAPUA,51,2.0,69,2.0
CAMPO GRANDE,33137,877.0,35198,937.0
CARACOL,36,,37,
CASSILANDIA,807,31.0,902,37.0
CHAPADAO DO SUL,976,18.0,1024,19.0
CORGUINHO,53,1.0,62,1.0
CORONEL SAPUCAIA,117,3.0,126,3.0
CORUMBA,4411,156.0,4708,163.0
COSTA RICA,431,13.0,452,13.0
COXIM,607,16.0,629,18.0
DEODAPOLIS,184,2.0,190,2.0
DOIS IRMAOS DO BURITI,519,13.0,522,13.0
DOURADINA,143,3.0,147,3.0
DOURADOS,7796,129.0,8323,134.0
ELDORADO,156,3.0,159,3.0
FATIMA DO SUL,531,20.0,541,22.0
FIGUEIRAO,21,,21,
GLORIA DE DOURADOS,149,2.0,152,2.0
GUIA LOPES DA LAGUNA,354,12.0,358,12.0
IGUATEMI,342,7.0,343,7.0
INOCENCIA,114,4.0,118,4.0
ITAPORA,370,8.0,372,10.0
ITAQUIRAI,309,9.0,317,10.0
IVINHEMA,349,12.0,379,12.0
JAPORA,5,1.0,6,3.0
JARAGUARI,39,1.0,39,1.0
JARDIM,285,14.0,324,16.0
JATEI,39,2.0,47,2.0
JUTI,219,,223,
LADARIO,846,21.0,939,22.0
LAGUNA CARAPA,48,4.0,48,4.0
MARACAJU,476,12.0,515,13.0
MIRANDA,1282,24.0,1310,31.0
MUNDO NOVO,189,9.0,236,9.0
NAVIRAI,1026,47.0,1128,52.0
NIOAQUE,324,5.0,327,5.0
NOVA ALVORADA DO SUL,560,10.0,566,11.0
NOVA ANDRADINA,516,23.0,550,24.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,75,3.0,81,3.0
PARANAIBA,773,24.0,813,25.0
PARANHOS,54,3.0,64,3.0
PEDRO GOMES,36,3.0,41,3.0
PONTA PORA,1100,50.0,1228,60.0
PORTO MURTINHO,137,9.0,214,11.0
RIBAS DO RIO PARDO,168,6.0,193,6.0
RIO BRILHANTE,1204,19.0,1216,20.0
RIO NEGRO,57,5.0,61,5.0
RIO VERDE DE MATO GROSSO,240,13.0,263,15.0
ROCHEDO,151,1.0,158,2.0
SANTA RITA DO PARDO,49,1.0,53,1.0
SAO GABRIEL DO OESTE,990,21.0,1029,21.0
SELVIRIA,46,2.0,50,2.0
SETE QUEDAS,55,5.0,65,5.0
SIDROLANDIA,2059,39.0,2105,39.0
SONORA,315,9.0,327,9.0
TACURU,264,2.0,306,2.0
TAQUARUSSU,46,2.0,57,2.0
TERENOS,312,19.0,320,21.0
TRES LAGOAS,2393,63.0,2791,68.0
VICENTINA,118,7.0,123,7.0
