,Casos-2020-07-18,Obitos-2020-07-18,Casos-2020-08-01,Obitos-2020-08-01
AGUA CLARA,250,4.0,519,4.0
ALCINOPOLIS,34,2.0,45,2.0
AMAMBAI,431,4.0,706,7.0
ANASTACIO,318,4.0,700,6.0
ANAURILANDIA,31,,60,1.0
ANGELICA,161,,287,3.0
ANTONIO JOAO,212,,439,
APARECIDA DO TABOADO,307,5.0,540,8.0
AQUIDAUANA,683,7.0,1965,21.0
ARAL MOREIRA,186,,223,1.0
BANDEIRANTES,99,,180,
BATAGUASSU,601,,1060,5.0
BATAIPORA,315,5.0,440,5.0
BELA VISTA,70,1.0,88,1.0
BODOQUENA,18,,23,
BONITO,349,1.0,484,1.0
BRASILANDIA,245,3.0,366,4.0
CAARAPO,510,1.0,801,1.0
CAMAPUA,88,1.0,136,1.0
CAMPO GRANDE,30728,171.0,47779,251.0
CARACOL,85,,92,
CASSILANDIA,269,2.0,389,2.0
CHAPADAO DO SUL,1282,3.0,1667,6.0
CORGUINHO,44,,67,
CORONEL SAPUCAIA,52,,75,
CORUMBA,3595,31.0,5815,58.0
COSTA RICA,711,5.0,1078,5.0
COXIM,440,4.0,907,6.0
DEODAPOLIS,344,1.0,522,1.0
DOIS IRMAOS DO BURITI,97,6.0,209,7.0
DOURADINA,413,2.0,456,2.0
DOURADOS,11041,57.0,13943,66.0
ELDORADO,160,1.0,246,1.0
FATIMA DO SUL,1156,5.0,1281,8.0
FIGUEIRAO,14,,22,
GLORIA DE DOURADOS,206,1.0,242,1.0
GUIA LOPES DA LAGUNA,769,4.0,856,4.0
IGUATEMI,299,3.0,687,4.0
INOCENCIA,136,,250,
ITAPORA,753,4.0,887,4.0
ITAQUIRAI,194,5.0,372,6.0
IVINHEMA,368,1.0,465,1.0
JAPORA,21,,36,
JARAGUARI,28,1.0,58,1.0
JARDIM,503,4.0,612,4.0
JATEI,194,,231,
JUTI,256,,307,
LADARIO,529,2.0,994,5.0
LAGUNA CARAPA,88,4.0,105,4.0
MARACAJU,1272,3.0,1872,5.0
MIRANDA,239,2.0,748,4.0
MUNDO NOVO,622,3.0,801,4.0
NAVIRAI,761,14.0,1107,21.0
NIOAQUE,136,,510,
NOVA ALVORADA DO SUL,128,2.0,212,3.0
NOVA ANDRADINA,1000,5.0,1279,8.0
NOVO HORIZONTE DO SUL,198,1.0,223,1.0
PARAISO DAS AGUAS,132,,209,1.0
PARANAIBA,1073,3.0,1248,3.0
PARANHOS,17,1.0,30,1.0
PEDRO GOMES,45,1.0,60,1.0
PONTA PORA,1131,18.0,1687,21.0
PORTO MURTINHO,318,3.0,393,3.0
RIBAS DO RIO PARDO,293,3.0,374,3.0
RIO BRILHANTE,2199,4.0,2627,4.0
RIO NEGRO,34,1.0,61,2.0
RIO VERDE DE MATO GROSSO,259,1.0,457,5.0
ROCHEDO,172,,484,
SANTA RITA DO PARDO,237,1.0,269,1.0
SAO GABRIEL DO OESTE,1031,4.0,1580,7.0
SELVIRIA,33,1.0,54,1.0
SETE QUEDAS,56,1.0,117,1.0
SIDROLANDIA,805,11.0,1820,20.0
SONORA,610,5.0,799,6.0
TACURU,200,,318,
TAQUARUSSU,26,,39,
TERENOS,303,3.0,587,11.0
TRES LAGOAS,3605,26.0,5571,37.0
VICENTINA,351,3.0,385,3.0
