,Casos-2020-10-04,Obitos-2020-10-04,Casos-2020-10-18,Obitos-2020-10-18
AGUA CLARA,222,5.0,257,5.0
ALCINOPOLIS,13,3.0,20,3.0
AMAMBAI,212,14.0,258,14.0
ANASTACIO,672,18.0,725,21.0
ANAURILANDIA,32,1.0,37,1.0
ANGELICA,124,4.0,140,4.0
ANTONIO JOAO,61,,62,1.0
APARECIDA DO TABOADO,910,25.0,959,26.0
AQUIDAUANA,1950,66.0,2029,70.0
ARAL MOREIRA,107,2.0,120,2.0
BANDEIRANTES,72,3.0,74,3.0
BATAGUASSU,828,8.0,866,8.0
BATAIPORA,193,6.0,222,6.0
BELA VISTA,58,6.0,69,6.0
BODOQUENA,33,2.0,40,2.0
BONITO,520,7.0,553,7.0
BRASILANDIA,108,7.0,110,7.0
CAARAPO,487,6.0,533,6.0
CAMAPUA,49,2.0,57,2.0
CAMPO GRANDE,31941,857.0,34242,899.0
CARACOL,36,,37,
CASSILANDIA,761,31.0,861,36.0
CHAPADAO DO SUL,924,16.0,1011,19.0
CORGUINHO,53,1.0,60,1.0
CORONEL SAPUCAIA,112,3.0,120,3.0
CORUMBA,4219,146.0,4558,161.0
COSTA RICA,407,12.0,450,13.0
COXIM,593,16.0,621,17.0
DEODAPOLIS,176,2.0,186,2.0
DOIS IRMAOS DO BURITI,516,13.0,520,13.0
DOURADINA,142,3.0,146,3.0
DOURADOS,7561,125.0,8004,130.0
ELDORADO,156,3.0,158,3.0
FATIMA DO SUL,523,20.0,537,20.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,142,2.0,151,2.0
GUIA LOPES DA LAGUNA,347,12.0,354,12.0
IGUATEMI,339,7.0,345,7.0
INOCENCIA,106,3.0,115,4.0
ITAPORA,362,8.0,375,9.0
ITAQUIRAI,305,9.0,312,10.0
IVINHEMA,333,11.0,362,12.0
JAPORA,5,1.0,6,1.0
JARAGUARI,35,1.0,39,1.0
JARDIM,236,13.0,317,15.0
JATEI,32,2.0,45,2.0
JUTI,219,,219,
LADARIO,794,21.0,888,21.0
LAGUNA CARAPA,47,4.0,48,4.0
MARACAJU,462,11.0,502,13.0
MIRANDA,1270,22.0,1298,29.0
MUNDO NOVO,176,8.0,209,9.0
NAVIRAI,978,46.0,1074,48.0
NIOAQUE,322,4.0,325,5.0
NOVA ALVORADA DO SUL,551,10.0,564,11.0
NOVA ANDRADINA,482,23.0,537,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,74,3.0,79,3.0
PARANAIBA,740,21.0,797,25.0
PARANHOS,45,3.0,61,3.0
PEDRO GOMES,34,3.0,38,3.0
PONTA PORA,1022,48.0,1171,55.0
PORTO MURTINHO,129,9.0,158,10.0
RIBAS DO RIO PARDO,153,6.0,186,6.0
RIO BRILHANTE,1188,17.0,1212,19.0
RIO NEGRO,48,4.0,58,5.0
RIO VERDE DE MATO GROSSO,228,12.0,249,13.0
ROCHEDO,142,1.0,160,2.0
SANTA RITA DO PARDO,48,1.0,49,1.0
SAO GABRIEL DO OESTE,973,20.0,1003,21.0
SELVIRIA,43,2.0,46,2.0
SETE QUEDAS,49,5.0,59,5.0
SIDROLANDIA,2030,38.0,2077,39.0
SONORA,311,9.0,320,9.0
TACURU,239,2.0,292,2.0
TAQUARUSSU,44,2.0,48,2.0
TERENOS,307,19.0,312,19.0
TRES LAGOAS,2281,61.0,2584,66.0
VICENTINA,115,7.0,120,7.0
