,Casos-2020-08-07,Obitos-2020-08-07,Casos-2020-08-21,Obitos-2020-08-21
AGUA CLARA,41,3.0,54,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,91,9.0,118,10.0
ANASTACIO,221,7.0,298,9.0
ANAURILANDIA,28,1.0,29,1.0
ANGELICA,46,3.0,54,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,184,10.0,373,12.0
AQUIDAUANA,887,26.0,1254,37.0
ARAL MOREIRA,30,1.0,31,1.0
BANDEIRANTES,56,1.0,57,1.0
BATAGUASSU,556,5.0,578,6.0
BATAIPORA,79,5.0,82,5.0
BELA VISTA,14,1.0,15,1.0
BODOQUENA,5,,5,
BONITO,150,1.0,258,2.0
BRASILANDIA,67,4.0,75,5.0
CAARAPO,224,3.0,259,3.0
CAMAPUA,24,1.0,29,1.0
CAMPO GRANDE,12626,326.0,16277,411.0
CARACOL,12,,12,
CASSILANDIA,82,2.0,132,3.0
CHAPADAO DO SUL,341,6.0,400,10.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,8,,15,
CORUMBA,1554,73.0,1944,87.0
COSTA RICA,208,6.0,256,6.0
COXIM,220,10.0,334,10.0
DEODAPOLIS,90,1.0,105,2.0
DOIS IRMAOS DO BURITI,139,9.0,149,12.0
DOURADINA,123,3.0,129,3.0
DOURADOS,4016,82.0,4389,94.0
ELDORADO,97,1.0,105,2.0
FATIMA DO SUL,283,10.0,303,11.0
FIGUEIRAO,4,,4,
GLORIA DE DOURADOS,51,1.0,55,1.0
GUIA LOPES DA LAGUNA,268,6.0,277,8.0
IGUATEMI,262,6.0,276,7.0
INOCENCIA,29,,34,
ITAPORA,213,5.0,237,6.0
ITAQUIRAI,201,6.0,226,7.0
IVINHEMA,100,2.0,118,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,88,8.0,108,10.0
JATEI,26,,26,
JUTI,162,,167,
LADARIO,306,8.0,399,12.0
LAGUNA CARAPA,31,4.0,31,4.0
MARACAJU,219,7.0,252,8.0
MIRANDA,336,7.0,466,11.0
MUNDO NOVO,102,4.0,111,4.0
NAVIRAI,454,21.0,544,30.0
NIOAQUE,107,2.0,158,3.0
NOVA ALVORADA DO SUL,148,4.0,164,6.0
NOVA ANDRADINA,165,11.0,185,12.0
NOVO HORIZONTE DO SUL,15,1.0,16,1.0
PARAISO DAS AGUAS,45,1.0,49,3.0
PARANAIBA,207,6.0,279,8.0
PARANHOS,5,1.0,9,1.0
PEDRO GOMES,1,2.0,7,2.0
PONTA PORA,321,28.0,414,30.0
PORTO MURTINHO,57,4.0,81,4.0
RIBAS DO RIO PARDO,42,3.0,64,3.0
RIO BRILHANTE,658,6.0,733,8.0
RIO NEGRO,21,2.0,22,3.0
RIO VERDE DE MATO GROSSO,87,5.0,111,8.0
ROCHEDO,61,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,587,9.0,663,12.0
SELVIRIA,5,1.0,6,1.0
SETE QUEDAS,8,2.0,9,2.0
SIDROLANDIA,913,24.0,1274,29.0
SONORA,164,6.0,174,7.0
TACURU,85,,110,1.0
TAQUARUSSU,5,,6,
TERENOS,178,13.0,217,14.0
TRES LAGOAS,787,39.0,982,40.0
VICENTINA,89,4.0,93,5.0
