,Casos-2020-07-20,Obitos-2020-07-20,Casos-2020-08-03,Obitos-2020-08-03
AGUA CLARA,17.0,,33,
ALCINOPOLIS,4.0,1.0,5,1.0
AMAMBAI,58.0,1.0,80,2.0
ANASTACIO,43.0,3.0,167,5.0
ANAURILANDIA,18.0,,23,
ANGELICA,22.0,,39,3.0
ANTONIO JOAO,29.0,,47,
APARECIDA DO TABOADO,82.0,1.0,161,4.0
AQUIDAUANA,188.0,3.0,602,17.0
ARAL MOREIRA,29.0,1.0,29,1.0
BANDEIRANTES,35.0,,50,
BATAGUASSU,267.0,1.0,433,4.0
BATAIPORA,52.0,3.0,69,3.0
BELA VISTA,10.0,,12,
BODOQUENA,5.0,,5,
BONITO,122.0,,136,
BRASILANDIA,46.0,1.0,56,1.0
CAARAPO,120.0,,211,1.0
CAMAPUA,16.0,1.0,22,1.0
CAMPO GRANDE,7208.0,75.0,10729,139.0
CARACOL,12.0,,12,
CASSILANDIA,44.0,1.0,66,1.0
CHAPADAO DO SUL,261.0,,315,3.0
CORGUINHO,17.0,,18,
CORONEL SAPUCAIA,5.0,,7,
CORUMBA,900.0,27.0,1388,52.0
COSTA RICA,130.0,2.0,184,3.0
COXIM,111.0,1.0,206,3.0
DEODAPOLIS,67.0,1.0,90,1.0
DOIS IRMAOS DO BURITI,44.0,2.0,107,3.0
DOURADINA,118.0,1.0,121,1.0
DOURADOS,3263.0,42.0,3740,48.0
ELDORADO,54.0,,81,
FATIMA DO SUL,250.0,3.0,265,5.0
FIGUEIRAO,2.0,,4,
GLORIA DE DOURADOS,44.0,1.0,50,1.0
GUIA LOPES DA LAGUNA,231.0,3.0,245,3.0
IGUATEMI,106.0,1.0,249,2.0
INOCENCIA,8.0,,28,
ITAPORA,167.0,3.0,192,3.0
ITAQUIRAI,144.0,4.0,198,5.0
IVINHEMA,69.0,,96,
JARAGUARI,10.0,,18,
JARDIM,58.0,,77,
JATEI,25.0,,26,
JUTI,127.0,,145,
LADARIO,140.0,3.0,240,6.0
LAGUNA CARAPA,20.0,1.0,22,1.0
MARACAJU,131.0,,200,2.0
MIRANDA,77.0,,213,2.0
MUNDO NOVO,74.0,,89,
NAVIRAI,273.0,4.0,405,8.0
NIOAQUE,27.0,,66,
NOVA ALVORADA DO SUL,80.0,,141,1.0
NOVA ANDRADINA,105.0,2.0,149,5.0
NOVO HORIZONTE DO SUL,15.0,,15,
PARAISO DAS AGUAS,16.0,1.0,36,1.0
PARANAIBA,156.0,1.0,190,1.0
PARANHOS,3.0,,5,
PEDRO GOMES,,,1,
PONTA PORA,213.0,4.0,288,6.0
PORTO MURTINHO,43.0,1.0,49,1.0
RIBAS DO RIO PARDO,30.0,,40,
RIO BRILHANTE,477.0,1.0,592,1.0
RIO NEGRO,8.0,1.0,19,1.0
RIO VERDE DE MATO GROSSO,33.0,1.0,81,3.0
ROCHEDO,46.0,,60,
SANTA RITA DO PARDO,37.0,,37,
SAO GABRIEL DO OESTE,384.0,3.0,531,4.0
SELVIRIA,2.0,,5,
SETE QUEDAS,3.0,,4,
SIDROLANDIA,390.0,3.0,804,9.0
SONORA,95.0,2.0,138,2.0
TACURU,32.0,,63,
TAQUARUSSU,3.0,,4,
TERENOS,106.0,,165,6.0
TRES LAGOAS,519.0,9.0,686,16.0
VICENTINA,82.0,2.0,87,2.0
