,Casos-2020-08-29,Obitos-2020-08-29,Casos-2020-09-12,Obitos-2020-09-12
AGUA CLARA,72.0,3.0,78,3.0
ALCINOPOLIS,8.0,3.0,9,3.0
AMAMBAI,156.0,12.0,163,12.0
ANASTACIO,432.0,14.0,480,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,59.0,3.0,66,3.0
ANTONIO JOAO,50.0,,51,
APARECIDA DO TABOADO,603.0,21.0,648,22.0
AQUIDAUANA,1526.0,47.0,1641,52.0
ARAL MOREIRA,48.0,1.0,53,1.0
BANDEIRANTES,59.0,1.0,61,2.0
BATAGUASSU,618.0,7.0,673,7.0
BATAIPORA,109.0,5.0,121,5.0
BELA VISTA,22.0,3.0,24,4.0
BODOQUENA,14.0,1.0,17,2.0
BONITO,390.0,6.0,404,6.0
BRASILANDIA,86.0,5.0,89,5.0
CAARAPO,331.0,5.0,352,5.0
CAMAPUA,35.0,1.0,36,1.0
CAMPO GRANDE,22134.0,570.0,23514,611.0
CARACOL,14.0,,15,
CASSILANDIA,370.0,10.0,417,11.0
CHAPADAO DO SUL,533.0,11.0,591,11.0
CORGUINHO,29.0,,32,1.0
CORONEL SAPUCAIA,46.0,2.0,50,2.0
CORUMBA,2756.0,112.0,2966,117.0
COSTA RICA,310.0,9.0,320,9.0
COXIM,443.0,12.0,453,12.0
DEODAPOLIS,120.0,2.0,128,2.0
DOIS IRMAOS DO BURITI,418.0,13.0,422,13.0
DOURADINA,131.0,3.0,131,3.0
DOURADOS,5371.0,106.0,5708,111.0
ELDORADO,117.0,2.0,128,2.0
FATIMA DO SUL,401.0,15.0,416,17.0
FIGUEIRAO,12.0,,16,
GLORIA DE DOURADOS,75.0,1.0,85,1.0
GUIA LOPES DA LAGUNA,300.0,9.0,304,9.0
IGUATEMI,287.0,7.0,299,7.0
INOCENCIA,45.0,1.0,47,2.0
ITAPORA,282.0,6.0,299,7.0
ITAQUIRAI,260.0,8.0,269,8.0
IVINHEMA,207.0,5.0,224,5.0
JAPORA,,,1,1.0
JARAGUARI,30.0,1.0,30,1.0
JARDIM,136.0,11.0,147,14.0
JATEI,27.0,1.0,27,1.0
JUTI,178.0,,183,
LADARIO,581.0,14.0,618,16.0
LAGUNA CARAPA,31.0,4.0,36,4.0
MARACAJU,320.0,8.0,330,9.0
MIRANDA,840.0,15.0,875,15.0
MUNDO NOVO,137.0,6.0,139,7.0
NAVIRAI,657.0,35.0,696,39.0
NIOAQUE,199.0,4.0,201,4.0
NOVA ALVORADA DO SUL,385.0,8.0,428,8.0
NOVA ANDRADINA,339.0,15.0,358,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,56,3.0
PARANAIBA,404.0,13.0,433,13.0
PARANHOS,19.0,1.0,20,1.0
PEDRO GOMES,16.0,2.0,19,2.0
PONTA PORA,580.0,33.0,622,34.0
PORTO MURTINHO,108.0,6.0,110,7.0
RIBAS DO RIO PARDO,101.0,4.0,111,6.0
RIO BRILHANTE,944.0,10.0,999,11.0
RIO NEGRO,25.0,3.0,27,3.0
RIO VERDE DE MATO GROSSO,149.0,9.0,164,9.0
ROCHEDO,68.0,,75,
SANTA RITA DO PARDO,45.0,1.0,47,1.0
SAO GABRIEL DO OESTE,761.0,15.0,795,17.0
SELVIRIA,11.0,1.0,11,1.0
SETE QUEDAS,22.0,2.0,22,3.0
SIDROLANDIA,1652.0,31.0,1708,33.0
SONORA,214.0,7.0,222,7.0
TACURU,158.0,1.0,185,2.0
TAQUARUSSU,14.0,,14,
TERENOS,254.0,14.0,261,14.0
TRES LAGOAS,1354.0,47.0,1438,49.0
VICENTINA,100.0,5.0,103,6.0
