,Casos-2020-09-19,Obitos-2020-09-19,Casos-2020-10-03,Obitos-2020-10-03
AGUA CLARA,157,4.0,219,4.0
ALCINOPOLIS,12,3.0,13,3.0
AMAMBAI,199,13.0,211,14.0
ANASTACIO,614,15.0,669,18.0
ANAURILANDIA,30,1.0,32,1.0
ANGELICA,93,4.0,121,4.0
ANTONIO JOAO,60,,61,
APARECIDA DO TABOADO,815,22.0,911,24.0
AQUIDAUANA,1870,58.0,1960,65.0
ARAL MOREIRA,71,2.0,107,2.0
BANDEIRANTES,68,3.0,70,3.0
BATAGUASSU,788,8.0,825,8.0
BATAIPORA,151,6.0,189,6.0
BELA VISTA,45,4.0,57,6.0
BODOQUENA,27,2.0,34,2.0
BONITO,487,7.0,521,7.0
BRASILANDIA,101,6.0,107,7.0
CAARAPO,438,6.0,487,6.0
CAMAPUA,46,1.0,47,1.0
CAMPO GRANDE,28687,730.0,31829,816.0
CARACOL,32,,36,
CASSILANDIA,581,22.0,761,26.0
CHAPADAO DO SUL,757,14.0,918,16.0
CORGUINHO,43,1.0,51,1.0
CORONEL SAPUCAIA,81,2.0,111,2.0
CORUMBA,3807,131.0,4205,142.0
COSTA RICA,369,9.0,407,10.0
COXIM,524,15.0,586,16.0
DEODAPOLIS,160,2.0,177,2.0
DOIS IRMAOS DO BURITI,510,13.0,516,13.0
DOURADINA,138,3.0,142,3.0
DOURADOS,6856,119.0,7555,123.0
ELDORADO,146,2.0,156,3.0
FATIMA DO SUL,483,17.0,524,18.0
FIGUEIRAO,18,,20,
GLORIA DE DOURADOS,120,2.0,142,2.0
GUIA LOPES DA LAGUNA,335,11.0,344,12.0
IGUATEMI,335,7.0,339,7.0
INOCENCIA,71,2.0,105,3.0
ITAPORA,342,7.0,360,8.0
ITAQUIRAI,295,9.0,305,9.0
IVINHEMA,267,10.0,327,11.0
JAPORA,3,1.0,5,1.0
JARAGUARI,34,1.0,35,1.0
JARDIM,197,13.0,233,13.0
JATEI,29,1.0,32,2.0
JUTI,216,,219,
LADARIO,715,21.0,792,21.0
LAGUNA CARAPA,44,4.0,46,4.0
MARACAJU,415,9.0,460,10.0
MIRANDA,1143,15.0,1259,21.0
MUNDO NOVO,171,8.0,177,8.0
NAVIRAI,827,43.0,953,44.0
NIOAQUE,309,4.0,322,4.0
NOVA ALVORADA DO SUL,488,9.0,548,9.0
NOVA ANDRADINA,425,21.0,481,22.0
NOVO HORIZONTE DO SUL,21,1.0,22,1.0
PARAISO DAS AGUAS,70,3.0,73,3.0
PARANAIBA,546,16.0,740,20.0
PARANHOS,29,2.0,45,3.0
PEDRO GOMES,26,2.0,33,2.0
PONTA PORA,814,40.0,1013,44.0
PORTO MURTINHO,115,8.0,128,9.0
RIBAS DO RIO PARDO,134,6.0,154,6.0
RIO BRILHANTE,1154,14.0,1194,17.0
RIO NEGRO,29,4.0,49,4.0
RIO VERDE DE MATO GROSSO,200,11.0,223,11.0
ROCHEDO,95,1.0,141,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,915,18.0,969,20.0
SELVIRIA,27,2.0,42,2.0
SETE QUEDAS,28,4.0,48,4.0
SIDROLANDIA,1972,36.0,2028,38.0
SONORA,293,9.0,311,9.0
TACURU,222,2.0,239,2.0
TAQUARUSSU,26,2.0,43,2.0
TERENOS,301,16.0,307,18.0
TRES LAGOAS,1860,56.0,2241,64.0
VICENTINA,110,7.0,115,7.0
