,Casos-2020-08-26,Obitos-2020-08-26,Casos-2020-09-09,Obitos-2020-09-09
AGUA CLARA,69.0,3.0,75,3.0
ALCINOPOLIS,8.0,3.0,9,3.0
AMAMBAI,135.0,12.0,159,12.0
ANASTACIO,417.0,12.0,469,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,59.0,3.0,65,3.0
ANTONIO JOAO,49.0,,50,
APARECIDA DO TABOADO,558.0,20.0,645,22.0
AQUIDAUANA,1459.0,46.0,1632,52.0
ARAL MOREIRA,47.0,1.0,53,1.0
BANDEIRANTES,59.0,1.0,61,2.0
BATAGUASSU,598.0,7.0,673,7.0
BATAIPORA,105.0,5.0,118,5.0
BELA VISTA,21.0,2.0,24,4.0
BODOQUENA,13.0,1.0,17,2.0
BONITO,356.0,5.0,402,6.0
BRASILANDIA,85.0,5.0,89,5.0
CAARAPO,315.0,4.0,351,5.0
CAMAPUA,34.0,1.0,36,1.0
CAMPO GRANDE,20812.0,545.0,23433,610.0
CARACOL,14.0,,14,
CASSILANDIA,328.0,10.0,410,11.0
CHAPADAO DO SUL,507.0,11.0,586,11.0
CORGUINHO,28.0,,31,1.0
CORONEL SAPUCAIA,42.0,2.0,50,2.0
CORUMBA,2612.0,108.0,2970,117.0
COSTA RICA,302.0,7.0,320,9.0
COXIM,425.0,12.0,452,12.0
DEODAPOLIS,117.0,2.0,128,2.0
DOIS IRMAOS DO BURITI,385.0,13.0,392,13.0
DOURADINA,131.0,3.0,131,3.0
DOURADOS,5158.0,104.0,5695,111.0
ELDORADO,111.0,2.0,128,2.0
FATIMA DO SUL,381.0,14.0,415,17.0
FIGUEIRAO,7.0,,15,
GLORIA DE DOURADOS,73.0,1.0,86,1.0
GUIA LOPES DA LAGUNA,297.0,9.0,301,9.0
IGUATEMI,284.0,7.0,299,7.0
INOCENCIA,45.0,1.0,47,2.0
ITAPORA,277.0,6.0,294,7.0
ITAQUIRAI,254.0,8.0,268,8.0
IVINHEMA,190.0,4.0,226,5.0
JAPORA,,,1,1.0
JARAGUARI,29.0,1.0,29,1.0
JARDIM,133.0,11.0,141,14.0
JATEI,27.0,1.0,27,1.0
JUTI,170.0,,174,
LADARIO,520.0,14.0,617,16.0
LAGUNA CARAPA,29.0,4.0,33,4.0
MARACAJU,298.0,8.0,328,9.0
MIRANDA,708.0,15.0,841,15.0
MUNDO NOVO,130.0,6.0,139,7.0
NAVIRAI,632.0,35.0,689,39.0
NIOAQUE,197.0,3.0,202,4.0
NOVA ALVORADA DO SUL,337.0,7.0,418,8.0
NOVA ANDRADINA,321.0,14.0,357,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,56,3.0
PARANAIBA,379.0,13.0,432,13.0
PARANHOS,15.0,1.0,20,1.0
PEDRO GOMES,11.0,2.0,17,2.0
PONTA PORA,554.0,32.0,618,34.0
PORTO MURTINHO,108.0,4.0,109,6.0
RIBAS DO RIO PARDO,99.0,4.0,111,6.0
RIO BRILHANTE,886.0,10.0,993,11.0
RIO NEGRO,24.0,3.0,27,3.0
RIO VERDE DE MATO GROSSO,141.0,8.0,164,9.0
ROCHEDO,68.0,,71,
SANTA RITA DO PARDO,47.0,1.0,49,1.0
SAO GABRIEL DO OESTE,747.0,15.0,793,17.0
SELVIRIA,11.0,1.0,11,1.0
SETE QUEDAS,20.0,2.0,21,2.0
SIDROLANDIA,1533.0,30.0,1708,33.0
SONORA,196.0,7.0,215,7.0
TACURU,153.0,1.0,184,2.0
TAQUARUSSU,14.0,,14,
TERENOS,243.0,14.0,260,14.0
TRES LAGOAS,1285.0,45.0,1424,48.0
VICENTINA,99.0,5.0,103,6.0
