,Casos-2020-10-02,Obitos-2020-10-02,Casos-2020-10-16,Obitos-2020-10-16
AGUA CLARA,218,5.0,256,5.0
ALCINOPOLIS,13,3.0,20,3.0
AMAMBAI,211,14.0,257,14.0
ANASTACIO,670,18.0,723,21.0
ANAURILANDIA,32,1.0,38,1.0
ANGELICA,121,4.0,138,4.0
ANTONIO JOAO,61,,62,1.0
APARECIDA DO TABOADO,910,24.0,959,26.0
AQUIDAUANA,1948,66.0,2020,70.0
ARAL MOREIRA,107,2.0,119,2.0
BANDEIRANTES,72,3.0,74,3.0
BATAGUASSU,828,8.0,864,8.0
BATAIPORA,193,6.0,222,6.0
BELA VISTA,58,6.0,68,6.0
BODOQUENA,33,2.0,40,2.0
BONITO,521,7.0,552,7.0
BRASILANDIA,108,7.0,110,7.0
CAARAPO,487,6.0,532,6.0
CAMAPUA,49,2.0,57,2.0
CAMPO GRANDE,31716,854.0,34033,890.0
CARACOL,36,,37,
CASSILANDIA,757,31.0,859,35.0
CHAPADAO DO SUL,916,16.0,1008,19.0
CORGUINHO,53,1.0,60,1.0
CORONEL SAPUCAIA,110,3.0,120,3.0
CORUMBA,4202,145.0,4541,159.0
COSTA RICA,404,11.0,444,12.0
COXIM,587,16.0,618,17.0
DEODAPOLIS,176,2.0,186,2.0
DOIS IRMAOS DO BURITI,516,13.0,520,13.0
DOURADINA,141,3.0,146,3.0
DOURADOS,7555,125.0,7994,130.0
ELDORADO,155,3.0,158,3.0
FATIMA DO SUL,523,20.0,536,20.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,141,2.0,151,2.0
GUIA LOPES DA LAGUNA,346,12.0,354,12.0
IGUATEMI,339,7.0,345,7.0
INOCENCIA,105,3.0,115,4.0
ITAPORA,362,8.0,375,9.0
ITAQUIRAI,305,9.0,312,9.0
IVINHEMA,332,11.0,362,12.0
JAPORA,5,1.0,5,1.0
JARAGUARI,35,1.0,39,1.0
JARDIM,234,13.0,308,15.0
JATEI,32,2.0,45,2.0
JUTI,219,,219,
LADARIO,793,21.0,875,21.0
LAGUNA CARAPA,47,4.0,48,4.0
MARACAJU,461,10.0,501,13.0
MIRANDA,1269,22.0,1296,28.0
MUNDO NOVO,176,8.0,206,9.0
NAVIRAI,978,46.0,1080,47.0
NIOAQUE,322,4.0,324,5.0
NOVA ALVORADA DO SUL,550,10.0,563,11.0
NOVA ANDRADINA,480,23.0,533,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,74,3.0,79,3.0
PARANAIBA,737,21.0,797,25.0
PARANHOS,45,3.0,61,3.0
PEDRO GOMES,33,3.0,38,3.0
PONTA PORA,1016,48.0,1160,55.0
PORTO MURTINHO,128,9.0,148,10.0
RIBAS DO RIO PARDO,153,6.0,186,6.0
RIO BRILHANTE,1186,17.0,1211,19.0
RIO NEGRO,48,4.0,58,5.0
RIO VERDE DE MATO GROSSO,226,12.0,242,13.0
ROCHEDO,141,1.0,160,2.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,973,20.0,1001,21.0
SELVIRIA,43,2.0,46,2.0
SETE QUEDAS,49,5.0,59,5.0
SIDROLANDIA,2030,38.0,2077,39.0
SONORA,310,9.0,318,9.0
TACURU,239,2.0,289,2.0
TAQUARUSSU,42,2.0,46,2.0
TERENOS,307,19.0,312,19.0
TRES LAGOAS,2269,61.0,2566,65.0
VICENTINA,115,7.0,120,7.0
