,Casos-2020-08-14,Obitos-2020-08-14,Casos-2020-08-28,Obitos-2020-08-28
AGUA CLARA,47,3.0,65,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,105,10.0,143,11.0
ANASTACIO,250,8.0,350,13.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,49,3.0,57,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,231,10.0,520,15.0
AQUIDAUANA,1077,30.0,1368,40.0
ARAL MOREIRA,30,1.0,36,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,564,5.0,599,7.0
BATAIPORA,80,5.0,86,5.0
BELA VISTA,15,1.0,16,2.0
BODOQUENA,6,,7,1.0
BONITO,191,1.0,345,4.0
BRASILANDIA,70,4.0,78,5.0
CAARAPO,236,3.0,288,4.0
CAMAPUA,25,1.0,30,1.0
CAMPO GRANDE,13670,360.0,18684,484.0
CARACOL,12,,14,
CASSILANDIA,103,2.0,251,5.0
CHAPADAO DO SUL,359,7.0,461,12.0
CORGUINHO,19,,24,
CORONEL SAPUCAIA,8,,23,1.0
CORUMBA,1662,75.0,2351,102.0
COSTA RICA,228,6.0,285,7.0
COXIM,223,10.0,394,10.0
DEODAPOLIS,90,1.0,115,2.0
DOIS IRMAOS DO BURITI,147,9.0,215,13.0
DOURADINA,123,3.0,130,3.0
DOURADOS,4170,86.0,4763,99.0
ELDORADO,101,1.0,112,2.0
FATIMA DO SUL,289,11.0,337,13.0
FIGUEIRAO,4,,8,
GLORIA DE DOURADOS,53,1.0,61,1.0
GUIA LOPES DA LAGUNA,268,7.0,288,8.0
IGUATEMI,268,6.0,280,7.0
INOCENCIA,30,,36,1.0
ITAPORA,218,5.0,262,6.0
ITAQUIRAI,210,6.0,239,8.0
IVINHEMA,103,2.0,154,3.0
JARAGUARI,20,1.0,20,1.0
JARDIM,95,9.0,128,10.0
JATEI,26,,26,1.0
JUTI,162,,167,
LADARIO,323,10.0,491,13.0
LAGUNA CARAPA,29,4.0,29,4.0
MARACAJU,227,7.0,275,8.0
MIRANDA,403,7.0,555,11.0
MUNDO NOVO,103,4.0,125,5.0
NAVIRAI,489,23.0,599,33.0
NIOAQUE,130,3.0,186,4.0
NOVA ALVORADA DO SUL,164,4.0,319,7.0
NOVA ANDRADINA,170,13.0,214,15.0
NOVO HORIZONTE DO SUL,15,1.0,19,1.0
PARAISO DAS AGUAS,46,2.0,49,3.0
PARANAIBA,226,6.0,350,9.0
PARANHOS,6,1.0,14,1.0
PEDRO GOMES,2,2.0,12,2.0
PONTA PORA,346,29.0,505,32.0
PORTO MURTINHO,64,4.0,94,4.0
RIBAS DO RIO PARDO,48,3.0,83,4.0
RIO BRILHANTE,689,7.0,792,8.0
RIO NEGRO,21,2.0,23,3.0
RIO VERDE DE MATO GROSSO,90,5.0,131,8.0
ROCHEDO,62,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,615,10.0,704,12.0
SELVIRIA,5,1.0,6,1.0
SETE QUEDAS,9,2.0,12,2.0
SIDROLANDIA,1026,24.0,1576,30.0
SONORA,171,6.0,181,7.0
TACURU,95,1.0,153,1.0
TAQUARUSSU,5,,6,
TERENOS,194,14.0,233,14.0
TRES LAGOAS,841,40.0,1132,44.0
VICENTINA,88,4.0,98,5.0
