,Casos-2020-07-25,Obitos-2020-07-25,Casos-2020-08-08,Obitos-2020-08-08
AGUA CLARA,30,,40,
ALCINOPOLIS,4,1.0,5,1.0
AMAMBAI,75,1.0,91,2.0
ANASTACIO,113,4.0,211,5.0
ANAURILANDIA,29,,30,
ANGELICA,32,2.0,44,3.0
ANTONIO JOAO,38,,48,
APARECIDA DO TABOADO,137,2.0,185,6.0
AQUIDAUANA,599,12.0,816,20.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,43,,53,
BATAGUASSU,369,1.0,535,4.0
BATAIPORA,67,3.0,75,3.0
BELA VISTA,11,,14,
BODOQUENA,3,,3,
BONITO,144,,153,
BRASILANDIA,55,1.0,65,1.0
CAARAPO,163,,229,1.0
CAMAPUA,21,1.0,25,1.0
CAMPO GRANDE,9778,98.0,12242,156.0
CARACOL,12,,12,
CASSILANDIA,61,1.0,73,1.0
CHAPADAO DO SUL,304,1.0,342,3.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,6,,8,
CORUMBA,1198,39.0,1545,55.0
COSTA RICA,172,2.0,211,3.0
COXIM,171,3.0,220,3.0
DEODAPOLIS,83,1.0,90,1.0
DOIS IRMAOS DO BURITI,84,3.0,124,4.0
DOURADINA,120,1.0,123,1.0
DOURADOS,3625,44.0,3993,52.0
ELDORADO,79,,95,
FATIMA DO SUL,265,4.0,283,5.0
FIGUEIRAO,2,,4,
GLORIA DE DOURADOS,46,1.0,51,1.0
GUIA LOPES DA LAGUNA,244,5.0,265,5.0
IGUATEMI,189,2.0,265,2.0
INOCENCIA,15,,28,
ITAPORA,189,3.0,206,3.0
ITAQUIRAI,166,5.0,202,5.0
IVINHEMA,86,,102,
JARAGUARI,17,,20,
JARDIM,71,1.0,87,1.0
JATEI,27,,27,
JUTI,140,,160,
LADARIO,212,4.0,283,7.0
LAGUNA CARAPA,22,1.0,30,1.0
MARACAJU,189,,218,2.0
MIRANDA,177,1.0,265,3.0
MUNDO NOVO,87,,98,
NAVIRAI,357,6.0,458,9.0
NIOAQUE,83,2.0,114,2.0
NOVA ALVORADA DO SUL,114,1.0,146,1.0
NOVA ANDRADINA,143,3.0,165,5.0
NOVO HORIZONTE DO SUL,15,,15,
PARAISO DAS AGUAS,31,1.0,42,1.0
PARANAIBA,180,1.0,205,1.0
PARANHOS,6,,7,
PEDRO GOMES,1,,1,
PONTA PORA,257,5.0,316,6.0
PORTO MURTINHO,51,1.0,57,1.0
RIBAS DO RIO PARDO,39,,42,
RIO BRILHANTE,554,1.0,642,1.0
RIO NEGRO,15,1.0,22,1.0
RIO VERDE DE MATO GROSSO,58,3.0,88,3.0
ROCHEDO,54,,61,
SANTA RITA DO PARDO,39,,43,
SAO GABRIEL DO OESTE,486,3.0,581,4.0
SELVIRIA,3,,5,
SETE QUEDAS,7,,7,
SIDROLANDIA,654,7.0,915,9.0
SONORA,120,2.0,157,2.0
TACURU,62,,86,
TAQUARUSSU,3,,4,
TERENOS,147,4.0,173,6.0
TRES LAGOAS,654,11.0,778,17.0
VICENTINA,86,3.0,88,3.0
