,Casos-2020-08-19,Obitos-2020-08-19,Casos-2020-09-02,Obitos-2020-09-02
AGUA CLARA,51,3.0,71,3.0
ALCINOPOLIS,6,3.0,9,3.0
AMAMBAI,114,12.0,153,12.0
ANASTACIO,320,9.0,421,15.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,53,3.0,59,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,359,13.0,579,19.0
AQUIDAUANA,1248,43.0,1549,48.0
ARAL MOREIRA,37,1.0,45,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,579,6.0,615,7.0
BATAIPORA,88,5.0,107,5.0
BELA VISTA,18,1.0,19,2.0
BODOQUENA,10,,12,2.0
BONITO,259,3.0,391,7.0
BRASILANDIA,76,5.0,82,5.0
CAARAPO,271,4.0,328,5.0
CAMAPUA,28,1.0,31,1.0
CAMPO GRANDE,16373,429.0,20391,543.0
CARACOL,14,,14,
CASSILANDIA,190,7.0,349,9.0
CHAPADAO DO SUL,407,10.0,506,13.0
CORGUINHO,19,,27,
CORONEL SAPUCAIA,24,1.0,41,2.0
CORUMBA,2056,89.0,2666,109.0
COSTA RICA,260,6.0,300,8.0
COXIM,251,11.0,422,11.0
DEODAPOLIS,106,1.0,120,2.0
DOIS IRMAOS DO BURITI,173,11.0,285,13.0
DOURADINA,127,3.0,131,3.0
DOURADOS,4574,97.0,5237,108.0
ELDORADO,105,2.0,115,2.0
FATIMA DO SUL,315,12.0,375,14.0
FIGUEIRAO,6,,12,
GLORIA DE DOURADOS,64,1.0,70,1.0
GUIA LOPES DA LAGUNA,282,9.0,295,9.0
IGUATEMI,273,7.0,288,7.0
INOCENCIA,35,,39,1.0
ITAPORA,245,5.0,278,6.0
ITAQUIRAI,224,7.0,254,8.0
IVINHEMA,132,2.0,198,3.0
JARAGUARI,24,1.0,24,1.0
JARDIM,112,10.0,131,11.0
JATEI,27,,27,1.0
JUTI,170,,174,
LADARIO,405,13.0,562,16.0
LAGUNA CARAPA,30,4.0,30,4.0
MARACAJU,253,8.0,304,8.0
MIRANDA,503,13.0,712,14.0
MUNDO NOVO,117,5.0,138,5.0
NAVIRAI,552,29.0,649,37.0
NIOAQUE,161,3.0,197,4.0
NOVA ALVORADA DO SUL,205,5.0,375,7.0
NOVA ANDRADINA,227,13.0,273,17.0
NOVO HORIZONTE DO SUL,16,1.0,19,1.0
PARAISO DAS AGUAS,53,2.0,53,3.0
PARANAIBA,292,8.0,402,10.0
PARANHOS,9,1.0,19,1.0
PEDRO GOMES,6,2.0,16,2.0
PONTA PORA,418,30.0,563,33.0
PORTO MURTINHO,81,4.0,98,5.0
RIBAS DO RIO PARDO,68,3.0,100,6.0
RIO BRILHANTE,761,10.0,906,10.0
RIO NEGRO,22,3.0,25,3.0
RIO VERDE DE MATO GROSSO,118,7.0,147,9.0
ROCHEDO,64,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,681,14.0,747,15.0
SELVIRIA,11,1.0,11,1.0
SETE QUEDAS,16,2.0,19,2.0
SIDROLANDIA,1261,30.0,1662,31.0
SONORA,178,7.0,195,7.0
TACURU,113,1.0,166,2.0
TAQUARUSSU,9,,10,
TERENOS,214,14.0,241,14.0
TRES LAGOAS,1060,43.0,1296,47.0
VICENTINA,92,5.0,100,6.0
