,Casos-2020-08-31,Obitos-2020-08-31,Casos-2020-09-14,Obitos-2020-09-14
AGUA CLARA,75.0,3.0,86,3.0
ALCINOPOLIS,9.0,3.0,9,3.0
AMAMBAI,157.0,12.0,162,12.0
ANASTACIO,459.0,15.0,497,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,61.0,3.0,77,3.0
ANTONIO JOAO,50.0,,52,
APARECIDA DO TABOADO,631.0,22.0,670,22.0
AQUIDAUANA,1616.0,48.0,1653,53.0
ARAL MOREIRA,50.0,1.0,54,1.0
BANDEIRANTES,59.0,1.0,62,2.0
BATAGUASSU,624.0,7.0,675,7.0
BATAIPORA,117.0,5.0,121,5.0
BELA VISTA,23.0,3.0,32,4.0
BODOQUENA,14.0,2.0,17,2.0
BONITO,398.0,6.0,412,6.0
BRASILANDIA,88.0,5.0,89,5.0
CAARAPO,343.0,5.0,355,5.0
CAMAPUA,35.0,1.0,36,1.0
CAMPO GRANDE,22829.0,590.0,24066,640.0
CARACOL,14.0,,18,
CASSILANDIA,393.0,10.0,433,14.0
CHAPADAO DO SUL,546.0,11.0,608,12.0
CORGUINHO,32.0,,32,1.0
CORONEL SAPUCAIA,49.0,2.0,50,2.0
CORUMBA,2843.0,113.0,3040,122.0
COSTA RICA,312.0,9.0,323,9.0
COXIM,446.0,12.0,458,13.0
DEODAPOLIS,120.0,2.0,129,2.0
DOIS IRMAOS DO BURITI,450.0,13.0,450,13.0
DOURADINA,131.0,3.0,132,3.0
DOURADOS,5474.0,107.0,5805,113.0
ELDORADO,119.0,2.0,130,2.0
FATIMA DO SUL,411.0,15.0,424,17.0
FIGUEIRAO,13.0,,16,
GLORIA DE DOURADOS,76.0,1.0,94,2.0
GUIA LOPES DA LAGUNA,300.0,9.0,305,10.0
IGUATEMI,295.0,7.0,301,7.0
INOCENCIA,48.0,1.0,48,2.0
ITAPORA,285.0,6.0,301,7.0
ITAQUIRAI,268.0,8.0,271,9.0
IVINHEMA,219.0,5.0,234,6.0
JAPORA,,,2,1.0
JARAGUARI,30.0,1.0,31,1.0
JARDIM,137.0,11.0,148,14.0
JATEI,27.0,1.0,27,1.0
JUTI,182.0,,183,
LADARIO,602.0,16.0,624,18.0
LAGUNA CARAPA,30.0,4.0,35,4.0
MARACAJU,319.0,8.0,332,9.0
MIRANDA,873.0,15.0,904,15.0
MUNDO NOVO,138.0,6.0,140,7.0
NAVIRAI,677.0,37.0,708,39.0
NIOAQUE,201.0,4.0,204,4.0
NOVA ALVORADA DO SUL,416.0,9.0,438,9.0
NOVA ANDRADINA,348.0,17.0,365,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,56,3.0
PARANAIBA,417.0,13.0,443,13.0
PARANHOS,20.0,1.0,20,1.0
PEDRO GOMES,19.0,2.0,20,2.0
PONTA PORA,606.0,34.0,649,34.0
PORTO MURTINHO,108.0,6.0,110,7.0
RIBAS DO RIO PARDO,106.0,6.0,110,6.0
RIO BRILHANTE,966.0,10.0,1007,12.0
RIO NEGRO,26.0,3.0,27,3.0
RIO VERDE DE MATO GROSSO,155.0,9.0,169,9.0
ROCHEDO,68.0,1.0,84,1.0
SANTA RITA DO PARDO,45.0,1.0,47,1.0
SAO GABRIEL DO OESTE,768.0,15.0,805,17.0
SELVIRIA,11.0,1.0,12,1.0
SETE QUEDAS,24.0,2.0,24,3.0
SIDROLANDIA,1681.0,31.0,1722,33.0
SONORA,223.0,7.0,224,7.0
TACURU,166.0,2.0,188,2.0
TAQUARUSSU,14.0,,14,
TERENOS,256.0,14.0,261,14.0
TRES LAGOAS,1379.0,46.0,1481,50.0
VICENTINA,100.0,6.0,103,6.0
