,Casos-2020-08-18,Obitos-2020-08-18,Casos-2020-09-01,Obitos-2020-09-01
AGUA CLARA,51,3.0,71,3.0
ALCINOPOLIS,5,3.0,9,3.0
AMAMBAI,113,12.0,153,12.0
ANASTACIO,306,9.0,419,15.0
ANAURILANDIA,31,1.0,31,1.0
ANGELICA,53,3.0,59,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,327,12.0,579,18.0
AQUIDAUANA,1198,42.0,1541,47.0
ARAL MOREIRA,34,1.0,42,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,576,6.0,614,7.0
BATAIPORA,87,5.0,107,5.0
BELA VISTA,18,1.0,19,2.0
BODOQUENA,8,,10,2.0
BONITO,246,3.0,389,6.0
BRASILANDIA,71,5.0,81,5.0
CAARAPO,264,4.0,326,5.0
CAMAPUA,28,1.0,31,1.0
CAMPO GRANDE,15836,412.0,20413,535.0
CARACOL,12,,14,
CASSILANDIA,176,7.0,344,9.0
CHAPADAO DO SUL,402,8.0,506,12.0
CORGUINHO,19,,27,
CORONEL SAPUCAIA,21,1.0,39,2.0
CORUMBA,1949,87.0,2616,109.0
COSTA RICA,251,6.0,299,8.0
COXIM,239,10.0,419,10.0
DEODAPOLIS,101,1.0,120,2.0
DOIS IRMAOS DO BURITI,156,11.0,285,13.0
DOURADINA,127,3.0,130,3.0
DOURADOS,4510,96.0,5216,107.0
ELDORADO,106,2.0,116,2.0
FATIMA DO SUL,304,12.0,370,14.0
FIGUEIRAO,5,,12,
GLORIA DE DOURADOS,57,1.0,65,1.0
GUIA LOPES DA LAGUNA,278,8.0,295,8.0
IGUATEMI,272,6.0,288,7.0
INOCENCIA,31,,39,1.0
ITAPORA,241,5.0,278,6.0
ITAQUIRAI,221,6.0,253,8.0
IVINHEMA,129,2.0,197,3.0
JARAGUARI,23,1.0,23,1.0
JARDIM,105,9.0,131,10.0
JATEI,27,,27,1.0
JUTI,170,,174,
LADARIO,396,13.0,556,16.0
LAGUNA CARAPA,29,4.0,29,4.0
MARACAJU,247,8.0,301,8.0
MIRANDA,478,13.0,705,14.0
MUNDO NOVO,113,5.0,137,5.0
NAVIRAI,544,28.0,643,37.0
NIOAQUE,150,3.0,193,4.0
NOVA ALVORADA DO SUL,197,5.0,374,7.0
NOVA ANDRADINA,217,13.0,274,17.0
NOVO HORIZONTE DO SUL,15,1.0,19,1.0
PARAISO DAS AGUAS,51,2.0,51,3.0
PARANAIBA,284,8.0,401,10.0
PARANHOS,7,1.0,19,1.0
PEDRO GOMES,5,2.0,16,2.0
PONTA PORA,402,30.0,558,33.0
PORTO MURTINHO,75,4.0,98,5.0
RIBAS DO RIO PARDO,60,3.0,96,6.0
RIO BRILHANTE,742,10.0,899,10.0
RIO NEGRO,22,3.0,25,3.0
RIO VERDE DE MATO GROSSO,112,7.0,146,9.0
ROCHEDO,64,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,669,14.0,744,15.0
SELVIRIA,10,1.0,10,1.0
SETE QUEDAS,16,2.0,19,2.0
SIDROLANDIA,1210,29.0,1655,31.0
SONORA,175,7.0,195,7.0
TACURU,105,1.0,166,2.0
TAQUARUSSU,8,,9,
TERENOS,209,14.0,241,14.0
TRES LAGOAS,996,40.0,1264,44.0
VICENTINA,92,5.0,100,6.0
