,Casos-2020-10-01,Obitos-2020-10-01,Casos-2020-10-15,Obitos-2020-10-15
AGUA CLARA,215,5.0,254,5.0
ALCINOPOLIS,13,3.0,20,3.0
AMAMBAI,209,14.0,252,14.0
ANASTACIO,666,18.0,713,21.0
ANAURILANDIA,32,1.0,37,1.0
ANGELICA,121,4.0,135,4.0
ANTONIO JOAO,61,,62,1.0
APARECIDA DO TABOADO,903,24.0,954,26.0
AQUIDAUANA,1943,66.0,1999,68.0
ARAL MOREIRA,105,2.0,117,2.0
BANDEIRANTES,70,3.0,73,3.0
BATAGUASSU,826,8.0,862,8.0
BATAIPORA,188,6.0,218,6.0
BELA VISTA,55,6.0,67,6.0
BODOQUENA,32,2.0,40,2.0
BONITO,522,7.0,547,7.0
BRASILANDIA,108,7.0,110,7.0
CAARAPO,480,6.0,522,6.0
CAMAPUA,49,2.0,54,2.0
CAMPO GRANDE,31521,853.0,33858,884.0
CARACOL,36,,37,
CASSILANDIA,749,31.0,850,35.0
CHAPADAO DO SUL,905,16.0,1007,18.0
CORGUINHO,53,1.0,59,1.0
CORONEL SAPUCAIA,110,3.0,119,3.0
CORUMBA,4180,145.0,4508,158.0
COSTA RICA,404,11.0,444,12.0
COXIM,583,16.0,617,17.0
DEODAPOLIS,175,2.0,186,2.0
DOIS IRMAOS DO BURITI,515,13.0,520,13.0
DOURADINA,141,3.0,147,3.0
DOURADOS,7463,125.0,7945,130.0
ELDORADO,154,3.0,157,3.0
FATIMA DO SUL,521,20.0,536,20.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,140,2.0,149,2.0
GUIA LOPES DA LAGUNA,346,12.0,353,12.0
IGUATEMI,338,7.0,345,7.0
INOCENCIA,105,3.0,115,4.0
ITAPORA,361,8.0,373,9.0
ITAQUIRAI,305,9.0,311,9.0
IVINHEMA,326,11.0,360,12.0
JAPORA,5,1.0,5,1.0
JARAGUARI,34,1.0,39,1.0
JARDIM,229,13.0,307,15.0
JATEI,32,2.0,43,2.0
JUTI,219,,219,
LADARIO,786,21.0,866,21.0
LAGUNA CARAPA,46,4.0,48,4.0
MARACAJU,458,10.0,498,13.0
MIRANDA,1263,22.0,1288,27.0
MUNDO NOVO,176,8.0,201,9.0
NAVIRAI,966,46.0,1074,47.0
NIOAQUE,321,4.0,325,5.0
NOVA ALVORADA DO SUL,549,10.0,563,10.0
NOVA ANDRADINA,472,23.0,531,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,73,3.0,78,3.0
PARANAIBA,731,21.0,793,24.0
PARANHOS,45,3.0,58,3.0
PEDRO GOMES,33,3.0,36,3.0
PONTA PORA,992,48.0,1140,52.0
PORTO MURTINHO,128,9.0,143,9.0
RIBAS DO RIO PARDO,151,6.0,183,6.0
RIO BRILHANTE,1186,17.0,1211,19.0
RIO NEGRO,46,4.0,59,5.0
RIO VERDE DE MATO GROSSO,222,12.0,238,13.0
ROCHEDO,141,1.0,158,2.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,970,20.0,998,21.0
SELVIRIA,43,2.0,46,2.0
SETE QUEDAS,47,5.0,58,5.0
SIDROLANDIA,2026,38.0,2074,39.0
SONORA,309,9.0,315,9.0
TACURU,239,2.0,287,2.0
TAQUARUSSU,42,2.0,46,2.0
TERENOS,307,19.0,311,19.0
TRES LAGOAS,2249,61.0,2529,65.0
VICENTINA,114,7.0,120,7.0
