,Casos-2020-07-23,Obitos-2020-07-23,Casos-2020-08-06,Obitos-2020-08-06
AGUA CLARA,26,,36,
ALCINOPOLIS,4,1.0,5,1.0
AMAMBAI,73,1.0,85,2.0
ANASTACIO,78,3.0,183,5.0
ANAURILANDIA,29,,29,
ANGELICA,24,1.0,41,3.0
ANTONIO JOAO,38,,48,
APARECIDA DO TABOADO,114,2.0,169,5.0
AQUIDAUANA,434,11.0,694,19.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,38,,50,
BATAGUASSU,364,1.0,441,4.0
BATAIPORA,62,3.0,72,3.0
BELA VISTA,10,,12,
BODOQUENA,5,,5,
BONITO,134,,145,
BRASILANDIA,51,1.0,56,1.0
CAARAPO,154,,219,1.0
CAMAPUA,20,1.0,22,1.0
CAMPO GRANDE,9052,90.0,11650,144.0
CARACOL,12,,12,
CASSILANDIA,56,1.0,69,1.0
CHAPADAO DO SUL,291,1.0,327,3.0
CORGUINHO,18,,18,
CORONEL SAPUCAIA,6,,8,
CORUMBA,1109,35.0,1466,54.0
COSTA RICA,161,2.0,194,3.0
COXIM,153,2.0,218,3.0
DEODAPOLIS,81,1.0,90,1.0
DOIS IRMAOS DO BURITI,49,3.0,114,4.0
DOURADINA,119,1.0,121,1.0
DOURADOS,3511,42.0,3879,48.0
ELDORADO,70,,87,
FATIMA DO SUL,259,4.0,280,5.0
FIGUEIRAO,2,,4,
GLORIA DE DOURADOS,47,1.0,50,1.0
GUIA LOPES DA LAGUNA,239,4.0,262,4.0
IGUATEMI,117,2.0,257,2.0
INOCENCIA,11,,28,
ITAPORA,180,3.0,202,3.0
ITAQUIRAI,160,4.0,198,5.0
IVINHEMA,79,,99,
JARAGUARI,14,,20,
JARDIM,66,1.0,84,1.0
JATEI,26,,27,
JUTI,136,,145,
LADARIO,183,4.0,257,7.0
LAGUNA CARAPA,21,1.0,23,1.0
MARACAJU,178,,212,2.0
MIRANDA,133,1.0,233,3.0
MUNDO NOVO,78,,91,
NAVIRAI,332,5.0,432,8.0
NIOAQUE,80,1.0,101,2.0
NOVA ALVORADA DO SUL,110,1.0,142,1.0
NOVA ANDRADINA,132,3.0,154,5.0
NOVO HORIZONTE DO SUL,15,,15,
PARAISO DAS AGUAS,26,1.0,38,1.0
PARANAIBA,168,1.0,195,1.0
PARANHOS,5,,6,
PEDRO GOMES,1,,1,
PONTA PORA,244,5.0,305,6.0
PORTO MURTINHO,49,1.0,52,1.0
RIBAS DO RIO PARDO,38,,42,
RIO BRILHANTE,509,1.0,605,1.0
RIO NEGRO,13,1.0,20,1.0
RIO VERDE DE MATO GROSSO,52,3.0,84,3.0
ROCHEDO,52,,62,
SANTA RITA DO PARDO,38,,39,
SAO GABRIEL DO OESTE,454,3.0,551,4.0
SELVIRIA,3,,5,
SETE QUEDAS,5,,6,
SIDROLANDIA,527,3.0,859,9.0
SONORA,113,2.0,146,2.0
TACURU,48,,70,
TAQUARUSSU,3,,4,
TERENOS,140,3.0,171,6.0
TRES LAGOAS,587,9.0,715,17.0
VICENTINA,85,2.0,87,2.0
