,Casos-2020-08-27,Obitos-2020-08-27,Casos-2020-09-10,Obitos-2020-09-10
AGUA CLARA,69.0,3.0,77,3.0
ALCINOPOLIS,8.0,3.0,9,3.0
AMAMBAI,140.0,12.0,162,12.0
ANASTACIO,428.0,12.0,469,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,59.0,3.0,65,3.0
ANTONIO JOAO,49.0,,50,
APARECIDA DO TABOADO,573.0,21.0,645,22.0
AQUIDAUANA,1491.0,46.0,1638,52.0
ARAL MOREIRA,48.0,1.0,53,1.0
BANDEIRANTES,59.0,1.0,61,2.0
BATAGUASSU,598.0,7.0,674,7.0
BATAIPORA,107.0,5.0,118,5.0
BELA VISTA,22.0,3.0,24,4.0
BODOQUENA,14.0,1.0,17,2.0
BONITO,375.0,5.0,404,6.0
BRASILANDIA,86.0,5.0,89,5.0
CAARAPO,320.0,4.0,351,5.0
CAMAPUA,34.0,1.0,36,1.0
CAMPO GRANDE,21349.0,549.0,23484,610.0
CARACOL,14.0,,14,
CASSILANDIA,347.0,10.0,414,11.0
CHAPADAO DO SUL,518.0,11.0,587,11.0
CORGUINHO,28.0,,31,1.0
CORONEL SAPUCAIA,43.0,2.0,50,2.0
CORUMBA,2694.0,110.0,2968,117.0
COSTA RICA,307.0,8.0,320,9.0
COXIM,431.0,12.0,452,12.0
DEODAPOLIS,118.0,2.0,128,2.0
DOIS IRMAOS DO BURITI,386.0,13.0,393,13.0
DOURADINA,131.0,3.0,131,3.0
DOURADOS,5224.0,105.0,5694,111.0
ELDORADO,115.0,2.0,128,2.0
FATIMA DO SUL,388.0,15.0,415,17.0
FIGUEIRAO,10.0,,15,
GLORIA DE DOURADOS,74.0,1.0,86,1.0
GUIA LOPES DA LAGUNA,298.0,9.0,301,9.0
IGUATEMI,287.0,7.0,299,7.0
INOCENCIA,45.0,1.0,47,2.0
ITAPORA,279.0,6.0,294,7.0
ITAQUIRAI,256.0,8.0,268,8.0
IVINHEMA,193.0,4.0,226,5.0
JAPORA,,,1,1.0
JARAGUARI,29.0,1.0,29,1.0
JARDIM,134.0,11.0,141,14.0
JATEI,27.0,1.0,27,1.0
JUTI,170.0,,174,
LADARIO,546.0,14.0,618,16.0
LAGUNA CARAPA,30.0,4.0,34,4.0
MARACAJU,305.0,8.0,329,9.0
MIRANDA,753.0,15.0,842,15.0
MUNDO NOVO,131.0,6.0,139,7.0
NAVIRAI,639.0,35.0,691,39.0
NIOAQUE,197.0,4.0,201,4.0
NOVA ALVORADA DO SUL,371.0,8.0,419,8.0
NOVA ANDRADINA,328.0,15.0,358,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,56,3.0
PARANAIBA,387.0,13.0,432,13.0
PARANHOS,16.0,1.0,20,1.0
PEDRO GOMES,11.0,2.0,17,2.0
PONTA PORA,564.0,32.0,618,34.0
PORTO MURTINHO,108.0,5.0,109,7.0
RIBAS DO RIO PARDO,100.0,4.0,111,6.0
RIO BRILHANTE,904.0,10.0,998,11.0
RIO NEGRO,25.0,3.0,27,3.0
RIO VERDE DE MATO GROSSO,147.0,8.0,164,9.0
ROCHEDO,68.0,,75,
SANTA RITA DO PARDO,47.0,1.0,49,1.0
SAO GABRIEL DO OESTE,750.0,15.0,793,17.0
SELVIRIA,11.0,1.0,11,1.0
SETE QUEDAS,21.0,2.0,21,2.0
SIDROLANDIA,1557.0,31.0,1708,33.0
SONORA,205.0,7.0,214,7.0
TACURU,156.0,1.0,184,2.0
TAQUARUSSU,14.0,,14,
TERENOS,247.0,14.0,260,14.0
TRES LAGOAS,1313.0,46.0,1429,49.0
VICENTINA,99.0,5.0,103,6.0
