,Casos-2020-08-01,Obitos-2020-08-01,Casos-2020-08-15,Obitos-2020-08-15
AGUA CLARA,41,4.0,44,4.0
ALCINOPOLIS,5,3.0,5,3.0
AMAMBAI,86,9.0,105,9.0
ANASTACIO,213,7.0,238,8.0
ANAURILANDIA,28,1.0,29,1.0
ANGELICA,47,3.0,51,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,174,10.0,224,10.0
AQUIDAUANA,847,26.0,1033,31.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,54,1.0,57,1.0
BATAGUASSU,451,5.0,561,5.0
BATAIPORA,79,5.0,80,5.0
BELA VISTA,12,1.0,14,1.0
BODOQUENA,4,,4,
BONITO,148,1.0,193,1.0
BRASILANDIA,65,4.0,70,4.0
CAARAPO,221,3.0,236,3.0
CAMAPUA,22,1.0,26,1.0
CAMPO GRANDE,12301,313.0,13748,362.0
CARACOL,12,,12,
CASSILANDIA,83,2.0,99,2.0
CHAPADAO DO SUL,330,6.0,363,7.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,8,,8,
CORUMBA,1498,71.0,1650,77.0
COSTA RICA,198,6.0,224,6.0
COXIM,218,9.0,222,10.0
DEODAPOLIS,90,1.0,90,1.0
DOIS IRMAOS DO BURITI,139,9.0,140,10.0
DOURADINA,121,3.0,123,3.0
DOURADOS,3870,80.0,4121,89.0
ELDORADO,97,1.0,98,1.0
FATIMA DO SUL,271,10.0,289,11.0
FIGUEIRAO,4,,4,
GLORIA DE DOURADOS,49,1.0,53,1.0
GUIA LOPES DA LAGUNA,255,6.0,269,7.0
IGUATEMI,256,6.0,269,6.0
INOCENCIA,29,,30,
ITAPORA,206,5.0,216,5.0
ITAQUIRAI,201,6.0,212,6.0
IVINHEMA,97,2.0,102,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,83,8.0,92,9.0
JATEI,26,,26,
JUTI,148,,160,
LADARIO,297,7.0,321,10.0
LAGUNA CARAPA,23,4.0,29,4.0
MARACAJU,212,6.0,223,6.0
MIRANDA,333,6.0,356,8.0
MUNDO NOVO,100,4.0,104,4.0
NAVIRAI,440,21.0,494,23.0
NIOAQUE,106,2.0,128,3.0
NOVA ALVORADA DO SUL,147,4.0,149,4.0
NOVA ANDRADINA,161,11.0,170,11.0
NOVO HORIZONTE DO SUL,15,1.0,15,1.0
PARAISO DAS AGUAS,44,1.0,47,2.0
PARANAIBA,204,6.0,225,6.0
PARANHOS,6,1.0,7,1.0
PEDRO GOMES,1,2.0,1,2.0
PONTA PORA,310,27.0,341,29.0
PORTO MURTINHO,55,4.0,65,4.0
RIBAS DO RIO PARDO,41,3.0,46,3.0
RIO BRILHANTE,639,6.0,670,6.0
RIO NEGRO,21,2.0,21,3.0
RIO VERDE DE MATO GROSSO,87,5.0,90,5.0
ROCHEDO,61,,62,
SANTA RITA DO PARDO,41,1.0,44,1.0
SAO GABRIEL DO OESTE,572,9.0,614,10.0
SELVIRIA,5,1.0,5,1.0
SETE QUEDAS,8,2.0,9,2.0
SIDROLANDIA,904,24.0,1055,24.0
SONORA,149,6.0,164,6.0
TACURU,80,,92,1.0
TAQUARUSSU,5,,5,
TERENOS,176,13.0,193,14.0
TRES LAGOAS,757,41.0,832,42.0
VICENTINA,89,4.0,89,5.0
