,Casos-2020-08-22,Obitos-2020-08-22,Casos-2020-09-05,Obitos-2020-09-05
AGUA CLARA,58.0,3.0,72.0,3.0
ALCINOPOLIS,8.0,3.0,9.0,3.0
AMAMBAI,123.0,12.0,154.0,12.0
ANASTACIO,354.0,10.0,448.0,15.0
ANAURILANDIA,30.0,1.0,30.0,1.0
ANGELICA,55.0,3.0,61.0,3.0
ANTONIO JOAO,49.0,,49.0,
APARECIDA DO TABOADO,452.0,17.0,623.0,21.0
AQUIDAUANA,1357.0,43.0,1587.0,48.0
ARAL MOREIRA,42.0,1.0,49.0,1.0
BANDEIRANTES,57.0,1.0,59.0,2.0
BATAGUASSU,591.0,6.0,620.0,7.0
BATAIPORA,96.0,5.0,114.0,5.0
BELA VISTA,20.0,2.0,21.0,3.0
BODOQUENA,10.0,,12.0,2.0
BONITO,301.0,4.0,397.0,7.0
BRASILANDIA,84.0,5.0,88.0,5.0
CAARAPO,293.0,4.0,340.0,5.0
CAMAPUA,34.0,1.0,36.0,1.0
CAMPO GRANDE,18103.0,487.0,21244.0,572.0
CARACOL,14.0,,14.0,
CASSILANDIA,241.0,9.0,384.0,10.0
CHAPADAO DO SUL,460.0,10.0,535.0,13.0
CORGUINHO,23.0,,29.0,
CORONEL SAPUCAIA,36.0,1.0,48.0,2.0
CORUMBA,2283.0,95.0,2767.0,112.0
COSTA RICA,278.0,7.0,308.0,9.0
COXIM,407.0,11.0,435.0,11.0
DEODAPOLIS,112.0,2.0,121.0,2.0
DOIS IRMAOS DO BURITI,296.0,12.0,311.0,13.0
DOURADINA,129.0,3.0,130.0,3.0
DOURADOS,4868.0,105.0,5386.0,111.0
ELDORADO,106.0,2.0,118.0,2.0
FATIMA DO SUL,347.0,12.0,398.0,15.0
FIGUEIRAO,7.0,,13.0,
GLORIA DE DOURADOS,70.0,1.0,76.0,1.0
GUIA LOPES DA LAGUNA,290.0,9.0,297.0,9.0
IGUATEMI,282.0,7.0,294.0,7.0
INOCENCIA,40.0,1.0,43.0,1.0
ITAPORA,255.0,6.0,284.0,6.0
ITAQUIRAI,242.0,7.0,265.0,9.0
IVINHEMA,154.0,4.0,213.0,5.0
JAPORA,,,,1.0
JARAGUARI,26.0,1.0,26.0,1.0
JARDIM,128.0,11.0,136.0,12.0
JATEI,27.0,1.0,27.0,1.0
JUTI,172.0,,176.0,
LADARIO,459.0,14.0,576.0,16.0
LAGUNA CARAPA,30.0,4.0,30.0,4.0
MARACAJU,279.0,8.0,319.0,8.0
MIRANDA,565.0,15.0,783.0,15.0
MUNDO NOVO,121.0,6.0,138.0,6.0
NAVIRAI,592.0,33.0,663.0,36.0
NIOAQUE,183.0,3.0,198.0,4.0
NOVA ALVORADA DO SUL,225.0,6.0,376.0,7.0
NOVA ANDRADINA,301.0,13.0,343.0,17.0
NOVO HORIZONTE DO SUL,17.0,1.0,19.0,1.0
PARAISO DAS AGUAS,53.0,3.0,53.0,3.0
PARANAIBA,338.0,10.0,417.0,12.0
PARANHOS,11.0,1.0,20.0,1.0
PEDRO GOMES,8.0,2.0,17.0,2.0
PONTA PORA,483.0,31.0,591.0,34.0
PORTO MURTINHO,92.0,4.0,106.0,5.0
RIBAS DO RIO PARDO,82.0,3.0,109.0,6.0
RIO BRILHANTE,818.0,10.0,935.0,10.0
RIO NEGRO,23.0,3.0,26.0,3.0
RIO VERDE DE MATO GROSSO,127.0,8.0,151.0,9.0
ROCHEDO,67.0,,67.0,
SANTA RITA DO PARDO,44.0,1.0,44.0,1.0
SAO GABRIEL DO OESTE,711.0,15.0,761.0,15.0
SELVIRIA,11.0,1.0,11.0,1.0
SETE QUEDAS,19.0,2.0,21.0,2.0
SIDROLANDIA,1450.0,30.0,1673.0,31.0
SONORA,183.0,7.0,198.0,7.0
TACURU,112.0,1.0,164.0,2.0
TAQUARUSSU,12.0,,13.0,
TERENOS,233.0,13.0,254.0,13.0
TRES LAGOAS,1181.0,43.0,1346.0,48.0
VICENTINA,94.0,5.0,100.0,6.0
