,Casos-2020-07-31,Obitos-2020-07-31,Casos-2020-08-14,Obitos-2020-08-14
AGUA CLARA,41,4.0,42,4.0
ALCINOPOLIS,5,3.0,5,3.0
AMAMBAI,86,9.0,104,9.0
ANASTACIO,214,7.0,236,8.0
ANAURILANDIA,28,1.0,29,1.0
ANGELICA,41,3.0,45,3.0
ANTONIO JOAO,47,,49,
APARECIDA DO TABOADO,175,10.0,224,10.0
AQUIDAUANA,846,26.0,1028,29.0
ARAL MOREIRA,30,1.0,30,1.0
BANDEIRANTES,54,1.0,57,1.0
BATAGUASSU,450,5.0,560,5.0
BATAIPORA,79,5.0,80,5.0
BELA VISTA,12,1.0,14,1.0
BODOQUENA,3,,3,
BONITO,149,1.0,191,1.0
BRASILANDIA,65,4.0,70,4.0
CAARAPO,221,3.0,236,3.0
CAMAPUA,22,1.0,25,1.0
CAMPO GRANDE,12212,313.0,13492,352.0
CARACOL,12,,12,
CASSILANDIA,82,2.0,95,2.0
CHAPADAO DO SUL,330,6.0,360,7.0
CORGUINHO,19,,19,
CORONEL SAPUCAIA,8,,8,
CORUMBA,1496,71.0,1642,75.0
COSTA RICA,198,6.0,222,6.0
COXIM,218,9.0,221,10.0
DEODAPOLIS,90,1.0,90,1.0
DOIS IRMAOS DO BURITI,140,9.0,141,9.0
DOURADINA,121,3.0,123,3.0
DOURADOS,3872,80.0,4083,86.0
ELDORADO,96,1.0,97,1.0
FATIMA DO SUL,271,10.0,285,11.0
FIGUEIRAO,4,,4,
GLORIA DE DOURADOS,49,1.0,52,1.0
GUIA LOPES DA LAGUNA,255,6.0,269,7.0
IGUATEMI,256,6.0,269,6.0
INOCENCIA,29,,30,
ITAPORA,205,5.0,215,5.0
ITAQUIRAI,200,6.0,205,6.0
IVINHEMA,97,2.0,102,2.0
JARAGUARI,20,1.0,20,1.0
JARDIM,84,7.0,91,8.0
JATEI,26,,26,
JUTI,148,,160,
LADARIO,297,7.0,315,9.0
LAGUNA CARAPA,24,4.0,30,4.0
MARACAJU,212,6.0,223,6.0
MIRANDA,328,6.0,350,6.0
MUNDO NOVO,100,4.0,102,4.0
NAVIRAI,440,21.0,482,23.0
NIOAQUE,106,2.0,119,3.0
NOVA ALVORADA DO SUL,146,4.0,148,4.0
NOVA ANDRADINA,160,12.0,169,12.0
NOVO HORIZONTE DO SUL,15,1.0,15,1.0
PARAISO DAS AGUAS,44,1.0,46,2.0
PARANAIBA,204,6.0,223,6.0
PARANHOS,6,1.0,7,1.0
PEDRO GOMES,1,2.0,1,2.0
PONTA PORA,307,27.0,333,29.0
PORTO MURTINHO,55,4.0,65,4.0
RIBAS DO RIO PARDO,41,3.0,43,3.0
RIO BRILHANTE,638,6.0,664,6.0
RIO NEGRO,21,2.0,21,2.0
RIO VERDE DE MATO GROSSO,88,5.0,91,5.0
ROCHEDO,61,,62,
SANTA RITA DO PARDO,41,1.0,44,1.0
SAO GABRIEL DO OESTE,572,9.0,612,10.0
SELVIRIA,5,1.0,5,1.0
SETE QUEDAS,8,2.0,9,2.0
SIDROLANDIA,904,24.0,1017,24.0
SONORA,152,6.0,163,6.0
TACURU,80,,92,1.0
TAQUARUSSU,5,,5,
TERENOS,176,13.0,186,14.0
TRES LAGOAS,754,41.0,817,43.0
VICENTINA,89,4.0,90,4.0
