,Casos-2020-09-04,Obitos-2020-09-04,Casos-2020-09-18,Obitos-2020-09-18
AGUA CLARA,75.0,3.0,110,3.0
ALCINOPOLIS,9.0,3.0,9,3.0
AMAMBAI,157.0,12.0,173,13.0
ANASTACIO,458.0,15.0,528,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,61.0,3.0,83,3.0
ANTONIO JOAO,50.0,,55,
APARECIDA DO TABOADO,630.0,22.0,717,22.0
AQUIDAUANA,1626.0,48.0,1704,56.0
ARAL MOREIRA,51.0,1.0,71,2.0
BANDEIRANTES,59.0,1.0,64,2.0
BATAGUASSU,624.0,7.0,692,8.0
BATAIPORA,117.0,5.0,126,5.0
BELA VISTA,23.0,3.0,40,4.0
BODOQUENA,14.0,2.0,19,2.0
BONITO,398.0,6.0,433,7.0
BRASILANDIA,88.0,5.0,90,6.0
CAARAPO,343.0,5.0,393,5.0
CAMAPUA,36.0,1.0,38,1.0
CAMPO GRANDE,22614.0,592.0,25079,665.0
CARACOL,14.0,,25,
CASSILANDIA,392.0,10.0,514,16.0
CHAPADAO DO SUL,544.0,11.0,658,12.0
CORGUINHO,32.0,,32,1.0
CORONEL SAPUCAIA,49.0,2.0,72,2.0
CORUMBA,2859.0,113.0,3378,127.0
COSTA RICA,312.0,9.0,333,9.0
COXIM,450.0,12.0,486,13.0
DEODAPOLIS,120.0,2.0,131,2.0
DOIS IRMAOS DO BURITI,460.0,13.0,460,13.0
DOURADINA,130.0,3.0,130,3.0
DOURADOS,5469.0,110.0,6048,116.0
ELDORADO,119.0,2.0,131,2.0
FATIMA DO SUL,410.0,15.0,452,17.0
FIGUEIRAO,13.0,,17,
GLORIA DE DOURADOS,76.0,1.0,113,2.0
GUIA LOPES DA LAGUNA,300.0,9.0,307,10.0
IGUATEMI,295.0,7.0,303,7.0
INOCENCIA,48.0,1.0,63,2.0
ITAPORA,287.0,6.0,308,7.0
ITAQUIRAI,268.0,8.0,275,9.0
IVINHEMA,217.0,5.0,246,8.0
JAPORA,,1.0,2,1.0
JARAGUARI,30.0,1.0,31,1.0
JARDIM,137.0,12.0,162,14.0
JATEI,27.0,1.0,27,1.0
JUTI,182.0,,185,
LADARIO,604.0,16.0,661,19.0
LAGUNA CARAPA,31.0,4.0,37,4.0
MARACAJU,319.0,8.0,358,9.0
MIRANDA,874.0,15.0,953,15.0
MUNDO NOVO,138.0,6.0,141,7.0
NAVIRAI,679.0,37.0,726,40.0
NIOAQUE,203.0,4.0,206,4.0
NOVA ALVORADA DO SUL,416.0,9.0,451,9.0
NOVA ANDRADINA,348.0,17.0,384,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,58,3.0
PARANAIBA,418.0,13.0,483,14.0
PARANHOS,21.0,1.0,21,1.0
PEDRO GOMES,19.0,2.0,21,2.0
PONTA PORA,602.0,34.0,697,36.0
PORTO MURTINHO,108.0,6.0,111,7.0
RIBAS DO RIO PARDO,106.0,6.0,115,6.0
RIO BRILHANTE,967.0,10.0,1043,13.0
RIO NEGRO,26.0,3.0,28,4.0
RIO VERDE DE MATO GROSSO,155.0,9.0,172,10.0
ROCHEDO,68.0,1.0,92,1.0
SANTA RITA DO PARDO,45.0,1.0,47,1.0
SAO GABRIEL DO OESTE,768.0,15.0,821,18.0
SELVIRIA,11.0,1.0,21,1.0
SETE QUEDAS,25.0,2.0,26,4.0
SIDROLANDIA,1681.0,31.0,1756,34.0
SONORA,236.0,7.0,242,8.0
TACURU,166.0,2.0,202,2.0
TAQUARUSSU,13.0,,17,1.0
TERENOS,258.0,14.0,268,15.0
TRES LAGOAS,1379.0,47.0,1614,52.0
VICENTINA,100.0,6.0,103,7.0
