,Casos-2020-08-30,Obitos-2020-08-30,Casos-2020-09-13,Obitos-2020-09-13
AGUA CLARA,75.0,3.0,79,3.0
ALCINOPOLIS,8.0,3.0,9,3.0
AMAMBAI,156.0,12.0,162,12.0
ANASTACIO,441.0,15.0,482,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,59.0,3.0,66,3.0
ANTONIO JOAO,50.0,,51,
APARECIDA DO TABOADO,606.0,21.0,649,22.0
AQUIDAUANA,1580.0,47.0,1640,52.0
ARAL MOREIRA,48.0,1.0,53,1.0
BANDEIRANTES,59.0,1.0,61,2.0
BATAGUASSU,620.0,7.0,673,7.0
BATAIPORA,114.0,5.0,121,5.0
BELA VISTA,22.0,3.0,24,4.0
BODOQUENA,14.0,1.0,17,2.0
BONITO,391.0,6.0,403,6.0
BRASILANDIA,87.0,5.0,89,5.0
CAARAPO,331.0,5.0,351,5.0
CAMAPUA,35.0,1.0,36,1.0
CAMPO GRANDE,22299.0,579.0,23689,631.0
CARACOL,14.0,,15,
CASSILANDIA,371.0,10.0,418,13.0
CHAPADAO DO SUL,539.0,11.0,595,11.0
CORGUINHO,29.0,,32,1.0
CORONEL SAPUCAIA,47.0,2.0,50,2.0
CORUMBA,2753.0,112.0,2965,121.0
COSTA RICA,309.0,9.0,321,9.0
COXIM,445.0,12.0,454,12.0
DEODAPOLIS,120.0,2.0,128,2.0
DOIS IRMAOS DO BURITI,437.0,13.0,441,13.0
DOURADINA,131.0,3.0,131,3.0
DOURADOS,5373.0,106.0,5722,113.0
ELDORADO,117.0,2.0,128,2.0
FATIMA DO SUL,400.0,15.0,415,17.0
FIGUEIRAO,12.0,,16,
GLORIA DE DOURADOS,75.0,1.0,86,2.0
GUIA LOPES DA LAGUNA,301.0,9.0,305,9.0
IGUATEMI,287.0,7.0,299,7.0
INOCENCIA,46.0,1.0,48,2.0
ITAPORA,283.0,6.0,299,7.0
ITAQUIRAI,260.0,8.0,269,9.0
IVINHEMA,209.0,5.0,226,6.0
JAPORA,,,1,1.0
JARAGUARI,30.0,1.0,30,1.0
JARDIM,137.0,11.0,147,14.0
JATEI,27.0,1.0,27,1.0
JUTI,178.0,,183,
LADARIO,585.0,16.0,621,16.0
LAGUNA CARAPA,31.0,4.0,36,4.0
MARACAJU,317.0,8.0,325,9.0
MIRANDA,865.0,15.0,893,15.0
MUNDO NOVO,138.0,6.0,140,7.0
NAVIRAI,662.0,35.0,702,39.0
NIOAQUE,199.0,4.0,201,4.0
NOVA ALVORADA DO SUL,389.0,8.0,435,8.0
NOVA ANDRADINA,341.0,16.0,358,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,56,3.0
PARANAIBA,404.0,13.0,433,13.0
PARANHOS,20.0,1.0,20,1.0
PEDRO GOMES,16.0,2.0,19,2.0
PONTA PORA,585.0,33.0,631,34.0
PORTO MURTINHO,109.0,6.0,110,7.0
RIBAS DO RIO PARDO,103.0,4.0,111,6.0
RIO BRILHANTE,954.0,10.0,1001,12.0
RIO NEGRO,26.0,3.0,27,3.0
RIO VERDE DE MATO GROSSO,150.0,9.0,165,9.0
ROCHEDO,68.0,,75,
SANTA RITA DO PARDO,45.0,1.0,47,1.0
SAO GABRIEL DO OESTE,761.0,15.0,799,17.0
SELVIRIA,11.0,1.0,11,1.0
SETE QUEDAS,22.0,2.0,22,3.0
SIDROLANDIA,1655.0,31.0,1709,33.0
SONORA,212.0,7.0,221,7.0
TACURU,161.0,2.0,185,2.0
TAQUARUSSU,14.0,,14,
TERENOS,253.0,14.0,260,14.0
TRES LAGOAS,1359.0,47.0,1445,51.0
VICENTINA,100.0,6.0,103,6.0
