,Casos-2020-09-27,Obitos-2020-09-27,Casos-2020-10-11,Obitos-2020-10-11
AGUA CLARA,201,5.0,249,5.0
ALCINOPOLIS,13,3.0,20,3.0
AMAMBAI,206,14.0,241,14.0
ANASTACIO,656,17.0,696,20.0
ANAURILANDIA,32,1.0,36,1.0
ANGELICA,111,4.0,132,4.0
ANTONIO JOAO,60,,61,1.0
APARECIDA DO TABOADO,865,24.0,934,26.0
AQUIDAUANA,1903,66.0,1974,68.0
ARAL MOREIRA,90,2.0,115,2.0
BANDEIRANTES,69,3.0,73,3.0
BATAGUASSU,811,8.0,854,8.0
BATAIPORA,178,6.0,209,6.0
BELA VISTA,48,5.0,63,6.0
BODOQUENA,28,2.0,38,2.0
BONITO,502,7.0,534,7.0
BRASILANDIA,105,6.0,108,7.0
CAARAPO,456,6.0,505,6.0
CAMAPUA,49,2.0,51,2.0
CAMPO GRANDE,30546,830.0,33140,875.0
CARACOL,35,,36,
CASSILANDIA,680,30.0,811,30.0
CHAPADAO DO SUL,853,16.0,980,18.0
CORGUINHO,50,1.0,53,1.0
CORONEL SAPUCAIA,98,3.0,117,3.0
CORUMBA,4021,143.0,4409,155.0
COSTA RICA,385,11.0,432,12.0
COXIM,557,16.0,610,16.0
DEODAPOLIS,172,2.0,184,2.0
DOIS IRMAOS DO BURITI,510,13.0,519,13.0
DOURADINA,138,3.0,144,3.0
DOURADOS,7201,125.0,7797,129.0
ELDORADO,152,2.0,156,3.0
FATIMA DO SUL,500,18.0,530,19.0
FIGUEIRAO,20,,21,
GLORIA DE DOURADOS,137,2.0,149,2.0
GUIA LOPES DA LAGUNA,340,12.0,351,12.0
IGUATEMI,337,7.0,344,7.0
INOCENCIA,84,2.0,113,4.0
ITAPORA,355,7.0,372,8.0
ITAQUIRAI,303,9.0,309,9.0
IVINHEMA,304,11.0,345,12.0
JAPORA,4,1.0,5,1.0
JARAGUARI,34,1.0,39,1.0
JARDIM,213,13.0,286,14.0
JATEI,31,2.0,39,2.0
JUTI,219,,219,
LADARIO,761,21.0,834,21.0
LAGUNA CARAPA,45,4.0,48,4.0
MARACAJU,447,10.0,480,12.0
MIRANDA,1221,21.0,1280,24.0
MUNDO NOVO,174,8.0,190,9.0
NAVIRAI,905,46.0,1021,47.0
NIOAQUE,319,4.0,324,5.0
NOVA ALVORADA DO SUL,535,10.0,558,10.0
NOVA ANDRADINA,454,23.0,513,23.0
NOVO HORIZONTE DO SUL,22,1.0,22,1.0
PARAISO DAS AGUAS,73,3.0,75,3.0
PARANAIBA,608,19.0,773,24.0
PARANHOS,41,3.0,53,3.0
PEDRO GOMES,30,2.0,35,2.0
PONTA PORA,910,46.0,1103,50.0
PORTO MURTINHO,125,9.0,138,9.0
RIBAS DO RIO PARDO,145,6.0,167,6.0
RIO BRILHANTE,1179,17.0,1205,18.0
RIO NEGRO,39,4.0,58,5.0
RIO VERDE DE MATO GROSSO,213,12.0,236,13.0
ROCHEDO,123,1.0,150,1.0
SANTA RITA DO PARDO,48,1.0,48,1.0
SAO GABRIEL DO OESTE,954,19.0,987,21.0
SELVIRIA,39,2.0,46,2.0
SETE QUEDAS,35,5.0,55,5.0
SIDROLANDIA,2006,38.0,2060,39.0
SONORA,303,9.0,314,9.0
TACURU,235,2.0,266,2.0
TAQUARUSSU,36,2.0,46,2.0
TERENOS,303,17.0,309,19.0
TRES LAGOAS,2109,64.0,2407,67.0
VICENTINA,112,7.0,118,7.0
